Id,Title,Company,Location,Required Qualifications,Link,Page Rank,
1,"Network Engineer, Intern - PHD","Facebook","Providence, RI","*Intro:* Facebook's mission is to give people the power to build community and bring the world closer together. Through our family of apps and services, we're building a different kind of company that connects billions of people around the world, gives them ways to share what matters most to them, and helps bring people closer together. Whether we're creating new products or helping a small business expand its reach, people at Facebook are builders at heart. Our global teams are constantly iterating, solving problems, and working together to empower people around the world to build community and connect in meaningful ways. Together, we can help people build stronger communities - we're just getting started..*Summary:* Facebook is looking for talented, highly motivated university students for our Network Engineering team. As a member of the team, you will work alongside experienced Backbone, Data Center, Production Engineers (Network) on a large-scale global network.This will be your network and it is constantly growing. Your primary function will be to ensure that the network and its related services are reliable, robust and can scale to meet the challenges that serving over a billion users presents. Automation and continuous improvement are the keys to meeting our demands; you will be responsible for developing and deploying network designs, automation systems and network performance improvements into our production network.Do you feel that you can do more than what your network's growth allows? Do you want to solve problems that can only be seen in large scale environments? Do you want to work on one of the most dynamic, fast-paced networks in the world? Do you want to develop innovative solutions to our challenges and ship them into production? Then this is the role for you!.*Required Skills:* 1. Manage and maintain multi-vendor, multi-protocol datacenter and backbone networks 2. Define, and develop optimized network monitoring and automation systems 3. Partner alongside the best engineers in the industry on the coolest stuff around, the code and systems you work on will be in production and used by millions of users all around the world.*Minimum Qualifications:* 4. Currently has, or is in the process of obtaining, a PHD in Computer Science, Computer Engineering, or a related technical discipline 5. Experience with computer networks 6. Basic proficiency in UNIX and TCP/IP network fundamentals 7. Experience coding in at least one language, and willingness to learn additional languages based on project requirements (Python and C++ are all in heavy use) 8. Willingness to learn new concepts around network design and management 9. Must obtain work authorization in the country of employment at the time of hire, and maintain ongoing work authorization during employment.*Preferred Qualifications:* 10. Knowledge of routing protocols such as BGP, and ISIS 11. Intent to return to Full time degree program after completion of the internship 12. Experience working cross-functionally.*Industry:* Internet.*Equal Opportunity:* Facebook is proud to be an Equal Opportunity and Affirmative Action employer. We do not discriminate based upon race, religion, color, national origin, sex (including pregnancy, childbirth, or related medical conditions), sexual orientation, gender, gender identity, gender expression, transgender status, sexual stereotypes, age, status as a protected veteran, status as an individual with a disability, or other applicable legally protected characteristics. We also consider qualified applicants with criminal histories, consistent with applicable federal, state and local law. Facebook is committed to providing reasonable accommodations for candidates with disabilities in our recruiting process. If you need any assistance or accommodations due to a disability, please let us know at (see below","https://www.jobserve.com/gb/en/search-jobs-in-Providence,-Rhode-Island,-USA/NETWORK-ENGINEER-INTERN-PHD-5A32FF402AAD875673/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic",0.17176772824387446,
3,"Jooble - Telecommute Network Engineer Intern","VirtualVocations","Cranston, RI","","https://jooble.org/jdp/2128658531124437084/Telecommute-Network-Engineer-Intern-Cranston%2C-RI?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic",0.042373213690821206,
9,"Network Engineering Internship","Systems Engineering","Portland, ME (+1 other)","At Systems Engineering, our mission is to enable the exceptional for our clients, our employee-owners, and our community. We are a 100% employee-owned IT strategy and managed services provider and we pride ourselves on providing engineering excellence and superior customer service.

Through our paid internship program, interns gain front-line IT industry experience and real-world business development skills by working on a variety of technical projects with small teams. In addition to tangible, hands-on learning experiences, our program provides mentorship & professional networking opportunities that prepare possible future employee candidates for a successful transition to a career in Information Technology.
• Summer Internship program runs for 13-weeks, May 24th – August 20th, 2021
• Our internships are full-time, paid positions, 40 hours per week, Monday-Friday.
• Application deadline: February 26 2021

___________________________________________________________________________

Network Engineering Internship

We are seeking three Engineering Interns to join our Engineering team this summer.

The purpose of this internship is to prepare college students for a successful transition to an IT Engineering role in the most challenging environments. Through our IT internship program, interns will gain real world experience in many aspects of IT by immersing in test, development, and production environments. The job may include both office-based work and on-site field work. Interns will get front-line troubleshooting and customer service experience and learn valuable technical skills.

In this internship you will have the opportunity to work across several of SE’s engineering teams and technologies Including security, networking, infrastructure, and support. Interns will have the opportunity to work across multiple teams through a three-week rotation. This will keep deliverables and milestones in focus, fast paced and fun. Working along-side great people and seasoned IT professionals will inspire your next academic and career choices.

Projects/Responsibilities/Focus Areas:
• Network and Application Security
• Backup and Disaster Recovery
• Firewall Administration
• Virtualization Administration
• Support of Cloud Environments

Desired Experience:
• Progress toward a degree/academic program in Information Technology, Computer Science, Cybersecurity, Data analytics, Business Intelligence.
• Technical skills: Basic computer, application, and productivity skills.
• Exceptional written and verbal communication skills, strong collaboration mindset, demonstrated problem-solving ability, eagerness to learn.
• Excellent attention to detail and ability to juggle competing goals and deadlines in fast-paced environments.

EMPLOYEE-OWNED AND PROUD! Systems Engineering is in the heart of the Old Port in downtown Portland close to the waterfront, trails, and restaurants. We have been repeatedly voted one of Maine’s Best Places to Work and pride ourselves on being active in the community. It is a great place to work because of our outstanding workplace culture and the team cares about each other and the future of the company.

Systems Engineering is an Equal Opportunity Employer","https://careers.liveandworkinmaine.com/job/thswtp/network-engineering-internship/portland/me/united-states?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic",0.05425032446255568,
4,"Network Engineer","VirtualVocations","Cranston, RI","","https://jooble.org/jdp/2128658531124437084/Telecommute-Network-Engineer-Intern-Cranston%2C-RI?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic",0.042373213690821206,
8,"Network Engineer, Intern - PHD - Facebook","Jobs in New York State","Albany, NY","Intro

Facebook's mission is to give people the power to build community and bring the world closer together. Through our family of apps and services, we're building a different kind of company that connects billions of people around the world, gives them ways to share what matters most to them, and helps bring people closer together. Whether we're creating new products or helping a small business expand its reach, people at Facebook are builders at heart. Our global teams are constantly iterating, solving problems, and working together to empower people around the world to build community and connect in meaningful ways. Together, we can help people build stronger communities - we're just getting started.

Summary

Facebook is looking for talented, highly motivated university students for our Network Engineering team. As a member of the team, you will work alongside experienced Backbone, Data Center, Production Engineers (Network) on a large-scale global network.This will be your network and it is constantly growing. Your primary function will be to ensure that the network and its related services are reliable, robust and can scale to meet the challenges that serving over a billion users presents. Automation and continuous improvement are the keys to meeting our demands; you will be responsible for developing and deploying network designs, automation systems and network performance improvements into our production network.Do you feel that you can do more than what your network's growth allows? Do you want to solve problems that can only be seen in large scale environments? Do you want to work on one of the most dynamic, fast-paced networks in the world? Do you want to develop innovative solutions to our challenges and ship them into production? Then this is the role for you!

Required Skills
• Manage and maintain multi-vendor, multi-protocol datacenter and backbone networks
• Define, and develop optimized network monitoring and automation systems
• Partner alongside the best engineers in the industry on the coolest stuff around, the code and systems you work on will be in production and used by millions of users all around the world

Minimum Qualifications
• Currently has, or is in the process of obtaining, a PHD in Computer Science, Computer Engineering, or a related technical discipline
• Experience with computer networks
• Basic proficiency in UNIX and TCP/IP network fundamentals
• Experience coding in at least one language, and willingness to learn additional languages based on project requirements (Python and C++ are all in heavy use)
• Willingness to learn new concepts around network design and management
• Must obtain work authorization in the country of employment at the time of hire, and maintain ongoing work authorization during employment

Preferred Qualifications
• Knowledge of routing protocols such as BGP, and ISIS
• Intent to return to full-time degree program after completion of the internship
• Experience working cross-functionally

Industry: Internet

Equal Opportunity: Facebook is proud to be an Equal Opportunity and Affirmative Action employer. We do not discriminate based upon race, religion, color, national origin, sex (including pregnancy, childbirth, or related medical conditions), sexual orientation, gender, gender identity, gender expression, transgender status, sexual stereotypes, age, status as a protected veteran, status as an individual with a disability, or other applicable legally protected characteristics. We also consider qualified applicants with criminal histories, consistent with applicable federal, state and local law. Facebook is committed to providing reasonable accommodations for candidates with disabilities in our recruiting process. If you need any assistance or accommodations due to a disability, please let us know at accommodations-ext@fb.com","https://www.linkedin.com/jobs/view/network-engineer-intern-phd-facebook-at-jobs-in-new-york-state-2494573420?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic",0.24476901171275656,
6,"Summer Intern - It Network Engineer","UKG","Lowell, MA","Description
The UKG Summer Internship Program is scheduled full-time from June 7, 2021 through August 13, 2021. This position is located in our Lowell, MA office.

We are looking for a summer intern to work on our networking/security team! This will be an opportunity to participate in real-world infrastructure deployment, architecture and operations projects. Specific areas include SD-WAN, endpoint security, converged compute, virtualization, identity management, authentication & authorization, UCaaS, advanced persistent threat, switching and firewalls.

In this internship, you will join the Core Technology team which is responsible for:
•IT infrastructure services including networks, security, authentication and user services.
•Day-to-day operations and participating in high-level architecture discussions.
•Focus on implementation, monitoring and maintenance of global networking systems.
•Gain exposure to all aspects of local & wide area networks, SD-WAN, endpoint security, advance persistent threat hunting, fire-walling, cloud computing, authentication & authorization, operating systems, load balancing services, UCaaS and remote access systems.

Qualifications
•Pursuing an undergraduate degree in a IT, CIS, MIS or other related field
•Students in their 3rd year of student strongly preferred
•Understanding of networks/networking systems
•Must be in good academic standing, transcripts may be request
•Demonstrate excellent verbal and written communication skills
•Strong desire to learn and work in a technical setting

Corporate overview
Here at UKG, Our Purpose Is People. UKG combines the strength and innovation of Ultimate Software and Kronos, uniting two award-winning, employee-centered cultures. Our employees are an extraordinary group of talented, energetic, and innovative people who care about more than just work. We strive to create a culture of belonging and an employee experience that empowers our people. UKG has more than 13,000 employees around the globe and is known for its inclusive workplace culture. Ready to be inspired? Learn more at www.ukg.com/careers

EEO Statement

Equal Opportunity Employer

Ultimate Kronos Group is proud to be an equal opportunity employer and is committed to maintaining a diverse and inclusive work environment. All qualified applicants will receive considerations for employment without regard to race, color, religion, sex, age, disability, marital status, familial status, sexual orientation, pregnancy, genetic information, gender identity, gender expression, national origin, ancestry, citizenship status, veteran status, and any other legally protected status under federal, state, or local anti-discrimination laws.

View The EEO is the Law poster and its supplement.

View the Pay Transparency Nondiscrimination Provision

UKG participates in E-Verify. View the E-Verify posters here .

Disability Accommodation

For individuals with disabilities that need additional assistance at any point in the application and interview process, please email UKGCareers@ukg.com or please call 1 (978) 250 9800","https://www.themuse.com/jobs/ukg/summer-intern-it-network-engineer?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic",0.06347287951771367,
7,"Network Engineer, Intern - PHD","Facebook","Boston, MA","*Intro:* Facebook's mission is to give people the power to build community and bring the world closer together. Through our family of apps and services, we're building a different kind of company that connects billions of people around the world, gives them ways to share what matters most to them, and helps bring people closer together. Whether we're creating new products or helping a small business expand its reach, people at Facebook are builders at heart. Our global teams are constantly iterating, solving problems, and working together to empower people around the world to build community and connect in meaningful ways. Together, we can help people build stronger communities - we're just getting started..*Summary:* Facebook is looking for talented, highly motivated university students for our Network Engineering team. As a member of the team, you will work alongside experienced Backbone, Data Center, Production Engineers (Network) on a large-scale global network.This will be your network and it is constantly growing. Your primary function will be to ensure that the network and its related services are reliable, robust and can scale to meet the challenges that serving over a billion users presents. Automation and continuous improvement are the keys to meeting our demands; you will be responsible for developing and deploying network designs, automation systems and network performance improvements into our production network.Do you feel that you can do more than what your network's growth allows? Do you want to solve problems that can only be seen in large scale environments? Do you want to work on one of the most dynamic, fast-paced networks in the world? Do you want to develop innovative solutions to our challenges and ship them into production? Then this is the role for you!.*Required Skills:* 1. Manage and maintain multi-vendor, multi-protocol datacenter and backbone networks 2. Define, and develop optimized network monitoring and automation systems 3. Partner alongside the best engineers in the industry on the coolest stuff around, the code and systems you work on will be in production and used by millions of users all around the world.*Minimum Qualifications:* 4. Currently has, or is in the process of obtaining, a PHD in Computer Science, Computer Engineering, or a related technical discipline 5. Experience with computer networks 6. Basic proficiency in UNIX and TCP/IP network fundamentals 7. Experience coding in at least one language, and willingness to learn additional languages based on project requirements (Python and C++ are all in heavy use) 8. Willingness to learn new concepts around network design and management 9. Must obtain work authorization in the country of employment at the time of hire, and maintain ongoing work authorization during employment.*Preferred Qualifications:* 10. Knowledge of routing protocols such as BGP, and ISIS 11. Intent to return to Full time degree program after completion of the internship 12. Experience working cross-functionally.*Industry:* Internet.*Equal Opportunity:* Facebook is proud to be an Equal Opportunity and Affirmative Action employer. We do not discriminate based upon race, religion, color, national origin, sex (including pregnancy, childbirth, or related medical conditions), sexual orientation, gender, gender identity, gender expression, transgender status, sexual stereotypes, age, status as a protected veteran, status as an individual with a disability, or other applicable legally protected characteristics. We also consider qualified applicants with criminal histories, consistent with applicable federal, state and local law. Facebook is committed to providing reasonable accommodations for candidates with disabilities in our recruiting process. If you need any assistance or accommodations due to a disability, please let us know at (see below","https://www.fox8jobs.com/jobs/network-engineer-intern-phd-boston-massachusetts/259906548-2/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic",0.17176772824387446,
10,"Summer Intern - IT Network Engineer","Kronos","Anywhere","Summer Intern - IT Network Engineer Location: Lowell - Massachusetts - USA Function: Information Technology Ref #: 20210016346 Description The UKG Summer Internship Program is scheduled full-time from June 7, 2021 through August 13, 2021. This position is located in our Lowell, MA office. We are looking for a summer intern to work on our networking/security team!

This will be an opportunity to participate in real-world infrastructure deployment, architecture and operations projects. Specific areas include SD-WAN, endpoint security, converged compute, virtualization, identity management, authentication & authorization, UCaaS, advanced persistent threat, switching and firewalls. In this internship, you will join the Core Technology team which is responsible for: IT infrastructure services including networks, security, authentication and user services.

Day-to-day operations and participating in high-level architecture discussions. Focus on implementation, monitoring and maintenance of global networking systems. Gain exposure to all aspects of local & wide area networks, SD-WAN, endpoint security, advance persistent threat hunting, fire-walling, cloud computing, authentication & authorization, operating systems, load balancing services, UCaaS and remote access systems.

Qualifications Pursuing an undergraduate degree in a IT, CIS, MIS or other related field Students in their 3rd year of student strongly preferred Understanding of networks/networking systems Must be in good academic standing, transcripts may be request Demonstrate excellent verbal and written communication skills Strong desire to learn and work in a technical setting Corporate overview Here at UKG, Our Purpose Is People. UKG combines the strength and innovation of Ultimate Software and Kronos, uniting two award-winning, employee-centered cultures. Our employees are an extraordinary group of talented, energetic, and innovative people who care about more than just work.

We strive to create a culture of belonging and an employee experience that empowers our people. UKG has more than 13,000 employees around the globe and is known for its inclusive workplace culture. Ready to be inspired?

Learn more at **www.ukg.com/careers** EEO Statement **Equal Opportunity Employer** Kronos, a UKG Company, is an Equal Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, gender identity, sexual orientation, age, national origin, protected veteran status, disability or any other basis protected by federal, state or local law. ViewThe EEO is the Law poster (https://www.dol.gov/ofccp/regs/compliance/posters/ofccpost.htm) and its **supplement** .

View thePay Transparency Nondiscrimination Provision (https://www.dol.gov/ofccp/pdf/pay-transp\_formattedESQA508c.pdf) Kronos participates in E-Verify. View the E-Verify postershere (https://www.e-verify.gov/sites/default/files/everify/posters/EVerifyParticipationPoster.pdf) . **Disability Accommodation** For individuals with disabilities that need additional assistance at any point in the application and interview process, please email **KronosCareers@kronos.com** or please call1 (978) 250 9800","https://www.ziprecruiter.com/c/Kronos/Job/Summer-Intern-IT-Network-Engineer/-in-Lowell,MA?jid=a11bcf8737074816&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic",0.07696086626001315,
2,"Technology Development Program: Network Engineer I (June 2021) at Citizens...","Facebook","Providence, RI","","https://www.jobserve.com/gb/en/search-jobs-in-Providence,-Rhode-Island,-USA/NETWORK-ENGINEER-INTERN-PHD-5A32FF402AAD875673/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic",0.042373213690821206,
0,"Global Network Engineering Intern","Hilton","Addison, TX","From smartphone capabilities like Digital Key to connected rooms that allow for integrated entertainment, temperature, and lighting controls, Hilton's Global Technology team is responsible for creating the hospitality experience of the future – for our guests, owners, and Team Members. Through innovative technology development and deployment, this team ensures Hilton has the technology needed to support our continued global growth while remaining at the forefront of hospitality technology innovation.

What will I be doing?

The Global Network Engineering (GNE) Team is looking for an individual pursuing a degree in a technology or business-related major. As the Global Network Engineering Intern, you will be working with the GNE team worldwide on specific projects and tasks to assist in activities related to researching, analyzing, developing, and crafting an accurate and trusted data landscape.

More Specifically, You Will
Collaborate with vendors and other support teams for problem resolution.
Communicate with more senior network engineers, upper-management, and internal clients to identify needs and evaluate alternative business solutions.
Document network projects within the hotels and corporate offices.
Work with the team to define API integration between collaboration systems and project management software.

What are we looking for?

We believe the success in this role will demonstrate itself through the following attributes and skills:
Self-starter, task-focused, responsible teammate, and possess positive and can-do attitudes
Communication and partner-focused skills
Build positive relationships across the team
Strong computer skills with Microsoft Word, Excel, and PowerPoint as well as navigating the internet
Ability to handle ambiguity, be a creative problem solver, and want to get their “hands dirty”
Creative, self-motivated, results-oriented, and superb communication skills

To fulfill this role successfully, you should demonstrate the following minimum qualifications:
Currently enrolled in an undergraduate degree program with significant coursework in Technology or business-related field
Understanding of basic network fundamentals
Rising sophomore, junior or senior
Cumulative 3.0 GPA or higher

It would be useful in this position for you to demonstrate the following capabilities and distinctions:
Advanced infrastructure understanding (firewall, network protocols)
Some scripting experience (i.e. Bash, Python, Powershell, Ansible)

What is it like working for Hilton?

Hilton is the world's leading global hospitality company, spanning the lodging sector from luxurious full-service hotels and resorts to extended-stay suites and mid-priced hotels. For over a century, Hilton has offered business and leisure travelers the finest in accommodations, service, amenities, and value. Hilton is dedicated to continuing its tradition of providing exceptional guest experiences across its global brands. Our vision to fill the earth with the light and warmth of hospitality unites us as a team to create remarkable hospitality experiences around the world every day. And our amazing Team Members are at the heart of it all!

We will ensure that qualified individuals with protected disabilities are provided reasonable accommodation to participate in the job application or interview process, to perform essential job functions of his or her role, and to receive other benefits and privileges of employment. Please contact us to request accommodation.

Work Locations

Hilton - System Solutions - Dallas

Schedule

Temporary

Brand

Hilton Corporate

Shift

Day Job

Job Level

Team Member

Job

Universities","https://www.linkedin.com/jobs/view/externalApply/2493883882?url=https%3A%2F%2Fhilton%2Etaleo%2Enet%2Fcareersection%2Fhww_external%2Fjobdetail%2Eftl%3Fjob%3D1249251%26tz%3DGMT%2B05%3A30%26tzname%3DAsia%2FCalcutta&urlHash=5QaF&refId=38597983-7502-4dca-a997-43be4b192265&trackingId=ztVX938CCBBMGfB2eT0usQ%3D%3D&trk=public_jobs_apply-link-offsite",0.04237321369082121,
5,"Network Security Engineering Intern","Perimeterwatch","Queens, NY (+1 other)","Job Description

We are an Astoria, Queens based IT & Cyber Security solutions provider looking for an ambitious IT professional with experience as a network/systems engineer.

WE ARE NOT a placement company or a staffing agency. The candidate we are searching for now will be looking to join a growing, team first environment that helps take their employees' IT careers to the next level.
The right candidate should be a great communicator with excellent interpersonal, organizational, and documentation skills. They also will be working on a daily basis in the following main categories and should have experience in each:
- Project management- Cyber Security (Next Gen Firewalls/UTM, Endpoint Protection et.al)

- Virtualization- Storage & Backup- Networks (Routing & Switching)

- Server infrastructure- Supporting end users in a Windows environment.
Preferred Skills: (ideal but not required)A foundation of or working knowledge in all the below will make the ideal candidate.
- Configuration and management of various Security Technologies (UTM Firewalls/Anti-Malware/MFA/VPN/DLP et.al)

- Configuration/administration of VMware and or Hyper-V- Configuration/administration of Active Directory

- Configuration/administration of Microsoft Exchange/Office 365- Configuration/administration of backup systems

- Configuration/administration of Cisco routers and switches

- Configuration/administration of VoIP systems (such as Cisco Call Manager/Unity)

- Understanding of IP networking including DNS, messaging, and routing

- Working knowledge in network security technologies (Firewalls, anti-virus, etc.)

- Knowledge of networking monitoring tools and protocols- Support of desktops and desktop applications- Implementation and administration of WSUS

Although specific certifications are not required, they are a big plus. Including:

- MCSE or MCITP certification

- VMware certification of any kind

- Cisco certifications (CCNA or higher)

- Checkpoint, Cisco, Palo Alto or Fortinet Security Certifications

About Perimeterwatch Technologies
We are looking for ambitious IT Professionals who are seeking a career path in Cyber Security and Cloud Architecture.

Perimeterwatch, is a Managed Security Services Provider (MSSP) that specializes in security auditing, security infrastructure design and deployment services, and ongoing management and support of our clients' infrastructure. Furthermore, out of its Data Center Perimeterwatch provides access to its cloud based security services including zero day breach detection, web application firewalls, DDoS defense and enterprise security of cloud based service provider environments (AWS, Azure and Google). We are looking for ambitious IT Professionals who are seeking a career path in Cyber Security and Cloud Architecture. The right candidate should be a great communicator with excellent interpersonal, organizational, and documentation skills. Upon completion of training the selected candidates will work directly with the following: - Cyber Security (Next Gen Firewalls/UTM, Endpoint Protection et.al) - Breach Detection and Intrusion Prevention - Anti-Malware and Ransomware - Virtualization (Citrix, VDI. VMware & Hyper-V) - Storage Area Networks and backup solutions (SANS) - Complex networks (Routing & Switching) - Server infrastructure

Company Description
Cyber Security Experts","https://www.ziprecruiter.com/c/Perimeterwatch/Job/Network-Security-Engineering-Intern/-in-Astoria,NY?jid=28e818f1c07d2f46&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic",0.047518532440701394,
1,"Network Engineer, Intern - PHD","Facebook","Providence, RI","*Intro:* Facebook's mission is to give people the power to build community and bring the world closer together. Through our family of apps and services, we're building a different kind of company that connects billions of people around the world, gives them ways to share what matters most to them, and helps bring people closer together. Whether we're creating new products or helping a small business expand its reach, people at Facebook are builders at heart. Our global teams are constantly iterating, solving problems, and working together to empower people around the world to build community and connect in meaningful ways. Together, we can help people build stronger communities - we're just getting started..*Summary:* Facebook is looking for talented, highly motivated university students for our Network Engineering team. As a member of the team, you will work alongside experienced Backbone, Data Center, Production Engineers (Network) on a large-scale global network.This will be your network and it is constantly growing. Your primary function will be to ensure that the network and its related services are reliable, robust and can scale to meet the challenges that serving over a billion users presents. Automation and continuous improvement are the keys to meeting our demands; you will be responsible for developing and deploying network designs, automation systems and network performance improvements into our production network.Do you feel that you can do more than what your network's growth allows? Do you want to solve problems that can only be seen in large scale environments? Do you want to work on one of the most dynamic, fast-paced networks in the world? Do you want to develop innovative solutions to our challenges and ship them into production? Then this is the role for you!.*Required Skills:* 1. Manage and maintain multi-vendor, multi-protocol datacenter and backbone networks 2. Define, and develop optimized network monitoring and automation systems 3. Partner alongside the best engineers in the industry on the coolest stuff around, the code and systems you work on will be in production and used by millions of users all around the world.*Minimum Qualifications:* 4. Currently has, or is in the process of obtaining, a PHD in Computer Science, Computer Engineering, or a related technical discipline 5. Experience with computer networks 6. Basic proficiency in UNIX and TCP/IP network fundamentals 7. Experience coding in at least one language, and willingness to learn additional languages based on project requirements (Python and C++ are all in heavy use) 8. Willingness to learn new concepts around network design and management 9. Must obtain work authorization in the country of employment at the time of hire, and maintain ongoing work authorization during employment.*Preferred Qualifications:* 10. Knowledge of routing protocols such as BGP, and ISIS 11. Intent to return to Full time degree program after completion of the internship 12. Experience working cross-functionally.*Industry:* Internet.*Equal Opportunity:* Facebook is proud to be an Equal Opportunity and Affirmative Action employer. We do not discriminate based upon race, religion, color, national origin, sex (including pregnancy, childbirth, or related medical conditions), sexual orientation, gender, gender identity, gender expression, transgender status, sexual stereotypes, age, status as a protected veteran, status as an individual with a disability, or other applicable legally protected characteristics. We also consider qualified applicants with criminal histories, consistent with applicable federal, state and local law. Facebook is committed to providing reasonable accommodations for candidates with disabilities in our recruiting process. If you need any assistance or accommodations due to a disability, please let us know at (see below","https://www.jobserve.com/gb/en/search-jobs-in-Providence,-Rhode-Island,-USA/NETWORK-ENGINEER-INTERN-PHD-5A32FF402AAD875673/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic",0.17176772824387446,
