Id,Title,Company,Location,Required Qualifications,Link,Page Rank,
23,"Laboratory Aide","Pandemic Response Lab","New York, NY","During the height of the coronavirus pandemic, a group of leading experts came together to launch the Pandemic Response Lab (PRL) which was announced by NYC’s Mayor De Blasio in August 2020. As New York City reopens, we recognize the need for fast, accurate and widespread testing. Based in the Alexandria Center for Life Science in Manhattan, PRL is a state of the art high complexity lab dedicated to processing COVID-19 tests with results within 24-48 hours.

We are currently seeking a Research & Development Lab Aide to join our growing R&D team!

General Role

We are looking for a Laboratory Aide in our Long Island City location. The Laboratory Aide will provide support for both Research and Development labs in our LIC location.

Responsibilities
Basic lab organization
Change water for equipment
Autoclave/wash glassware/water
Check lab safety equipment weekly such as eye washes
Clean lab equipment/machines weekly
Basic upkeep of equipment- such as scheduling repairs
Basic upkeep of disinfectants and stocks of disinfectants
Responsible for tracking equipment needs/reagents
Restock equipment, PPE and reagents
Remove cardboard boxes from the lab
Assist in signing off on hazardous waste removal-DOT
Transport daily swabs to NYC location twice a week (transportation provided)
Transport of reagents from NYC to LIC location as necessary (transportation provided)
Screening samples according to protocols to ensure negative results
Accession samples


Basic Qualifications
High school diploma or equivalent
Basic computer skills
Ability to work in a team environment
Organizational skills


Advanced Qualifications
Laboratory experience
Bachelor of Science degree
Familiarity with laboratory equipment

#PRL","https://www.linkedin.com/jobs/view/externalApply/2466641906?url=https%3A%2F%2Fjobs%2Ecriver%2Ecom%2Fjob%2FShrewsbury-Laboratory-Assistant-1-MA-01545%2F698167300%2F&urlHash=ks3B&refId=1cc31fbe-198a-4408-a842-f7a4290d4772&trackingId=f%2BTFfkg%2F3e%2BIzOMInz%2Bw3g%3D%3D&trk=public_jobs_apply-link-offsite",0.015121065457626502,
13,"LABORATORY ASSISTANT (SW)","CharterCARE Health Partners","Providence, RI","Summary: Under the direction of the Central Processing Supervisor the Laboratory Assistant performs all work station function in Central Processing area of the Laboratory including electronic patient registration and test ordering, processing of laboratory specimens for analysis, electronic ordering and packaging of specimens referred to a reference laboratory for analysis, specimen handling and planting of microbiology specimens, processing of specimens for cytologic and pathologic examination. Performs the duties of a Client Services Representative when needed.

Education: High School diploma or equivalent.

Licenses: None

Experience: Medical terminology and computer skills required. Previous laboratory experience preferred.

By submitting your interest in this job, you agree to receive text notifications with additional steps to complete your job application. You will receive up to 6 messages from the number 63879. Message & data rates may apply. Please refer to our privacy policy for more information.","https://www.linkedin.com/jobs/view/externalApply/2483977928?url=https%3A%2F%2Fchartercare-health-partners%2Etalentify%2Eio%2Fjob%2Flaboratory-assistant-sw-providence-rhode-island-chartercare-health-partners-21522%3Futm_source%3Dlinkedin_organic%26utm_medium%3DXml%26tdd%3DdDEsaDM1LGozdG9wbyxlcHJvNjA3MTMwZDA3MWI4MzQwMjY4ODEyOQ&urlHash=UAjb&refId=1cc31fbe-198a-4408-a842-f7a4290d4772&trackingId=332MMMJmfNDYoALhY88zPA%3D%3D&trk=public_jobs_apply-link-offsite",0.0601233333931636,
3,"Clinical Operations Assistant","EMSL Analytical, Inc","Woburn, MA","","https://www.internships.com/posting/sam_bc90a08b6723f49b?context=merch&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic",0.011349638946165128,
7,"Lab Assistant Intern","Eurofins","Lancaster, PA","Company Description

Eurofins Scientific is an international life sciences company which provides a unique range of analytical testing services to clients across multiple industries. The Group believes it is the world leader in food, environment and pharmaceutical products testing and in agroscience CRO services. It is also one of the global independent market leaders in certain testing and laboratory services for genomics, discovery pharmacology, forensics, advanced material sciences and for supporting clinical studies. In addition, Eurofins is one of the key emerging players in specialty clinical diagnostic testing in Europe and the USA.

Group's key figures (as of March 2019) are approx. 3.8 billion Euros turnover, over 800 laboratories across 47 countries and about 45,000 staff.

Job Description

Essential Duties and Responsibilities:
Demonstrates and promotes the company vision
Regular attendance and punctuality
Clean, dry, and store glassware for laboratory use
Dispose of waste solutions
Retrieve washroom acids and solvents
Clean and maintain glassware areas
Learn simple laboratory operations such as media production
Learn and use inventory and ordering system for lab supplies
Assist with receiving and placing lab supplies in proper place
Conducts all activities in a safe and efficient manner
Performs other duties as assigned

Qualifications

Qualifications:
Excellent communication (oral and written) and attention to detail
Ability to work independently and as part of a team, self-motivation, adaptability, and a positive attitude
Ability to learn new techniques, perform multiple tasks simultaneously, keep accurate records, follow instructions, and comply with company policies

Additional Information

Candidates currently living within a commutable distance of Lancaster, PA are encouraged to apply.
Excellent full time benefits including comprehensive medical coverage, dental, and vision options
Life and disability insurance
401(k) with company match
Paid vacation and holidays
Eurofins is a M/F, Disabled, and Veteran Equal Employment Opportunity and Affirmative Action employer.","https://www.linkedin.com/jobs/view/externalApply/2487591786?url=https%3A%2F%2Fjobs%2Esmartrecruiters%2Ecom%2FEurofins%2F743999741379891-lab-assistant-intern&urlHash=MGD2&refId=1cc31fbe-198a-4408-a842-f7a4290d4772&trackingId=hxHpQDDRevX%2B6tlPbIUxmw%3D%3D&trk=public_jobs_apply-link-offsite",0.021844404980893295,
17,"Research Lab Assistant","Caltech","Pasadena, CA","Caltech is a world-renowned science and engineering institute that marshals some of the world's brightest minds and most innovative tools to address fundamental scientific questions. We thrive on finding and cultivating talented people who are passionate about what they do. Join us and be a part of the diverse Caltech community.

Job Summary

The Research Lab Assistant will assist researchers in mammalian cell culture, transfection, and molecular cloning. Other duties will include assisting immunohistochemistry and functional imaging experiments, and additional lab support duties as assigned.

Job Duties
Mammalian cell culture, transfection, and maintenance.
Molecular cloning of transgenes.
Immunohistochemistry and functional imagining experiment preparations.
Perform other duties as assigned.
Basic Qualifications
B.S. or B.A. degree in Biological or Biomedical Sciences.
At least 1 year experience as lab technician in a molecular or cell biology lab.
Experience in mammalian cell culture, cell transfection.
Preferred Qualifications
Experience in immunohistochemistry and molecular cloning preferred.
Required Documents
Resume
EEO Statement

We are an equal opportunity employer and all qualified applicants will receive consideration for employment without regard to age, race, color, religion, sex, sexual orientation, gender identity, or national origin, disability status, protected veteran status, or any other characteristic protected by law.

Caltech is a VEVRAA Federal Contractor.

To read more Equal Employment Opportunity (EEO) go to eeoc_self_print_poster.pdf.

Disability Accommodations

If you would like to request an accommodation in completing this application, interviewing, or otherwise participating in the employee selection process, please direct your inquiries to Caltech Recruiting at employment@caltech.edu

Share","https://www.linkedin.com/jobs/view/externalApply/2482853158?url=https%3A%2F%2Fphf%2Etbe%2Etaleo%2Enet%2Fphf03%2Fats%2Fcareers%2Fv2%2FviewRequisition%3Forg%3DCALTECH%26cws%3D37%26rid%3D5775%26source%3DLinkedIn%26src%3DLinkedIn%26gns%3DLinkedIn&urlHash=wyOr&refId=1cc31fbe-198a-4408-a842-f7a4290d4772&trackingId=U7JOEe1BxbjaqHhhvu72WQ%3D%3D&trk=public_jobs_apply-link-offsite",0.023391716982651405,
11,"Laboratory Assistant","Rhode Island Blood Center","Providence, RI","In 1979, the Rhode Island Blood Center was established by the hospitals in Rhode Island as a private, not for profit agency to collect, test, and distribute blood products. Today, the Rhode Blood Center is a division of New York Blood Center and is among the nation's premium providers of blood products and services and an integral part of the Rhode Island community's health care system. As of December 2018, the Rhode Island Blood Center employs approximately 320 full- and part-time employees. Our employees are committed to the Blood Center's mission of providing a safe and adequate blood for patients within our community. We seek individuals who are caring and compassionate, who take pride in their work, and are looking for a rewarding experience. At the Rhode Island Blood Center, you not only have a job but also the opportunity to make a difference.

The hours for this position are Monday - Thursday 330 PM - 1200 AM and every other weekend 11 AM - 730 PM with rotating holidays. Schedule may vary depending on demand.

This position is responsible for the accurate entry of donor and draw information as well as the selection of the appropriate component plan. This position is also responsible for the precise execution of multiple production steps to produce quality components.

This position reports to the Laboratory Supervisors or others as designated.
Enter and update donor registration and draw information into the computer.
Process blood components from whole blood and apheresis donations with proper technique and documentation according to the procedures of the Rhode Island Blood Center Laboratory.
Label all blood components including proper checking and documentation according to the procedures of the Rhode Island Blood Center Laboratory.
Perform and document quality control procedures on a regular schedule.
Recognize equipment malfunctions and evaluate need for adjustment for repairs. Notify Supervisor in writing of any equipment malfunctions or unacceptable component results, as established for each quality control procedure.
Organize, process, modify and sterile dock any component as necessary to efficiently deliver quality pooled or split products.
High School Diploma.

Must be able to lift up to 60 pounds. Must also be able to stand for long periods and sit, stand, walk and lift alternately throughout the duration of the shift.","https://www.linkedin.com/jobs/view/externalApply/2484999543?url=https%3A%2F%2Fcareers-ribc%2Eicims%2Ecom%2Fjobs%2F3018%2Flaboratory-assistant%2Fjob%3Fmode%3Djob%26iis%3DJob%2BPosting%26iisn%3DLinkedIn&urlHash=yklZ&refId=1cc31fbe-198a-4408-a842-f7a4290d4772&trackingId=WJrWDncypF6W%2Bp%2FGFRTViw%3D%3D&trk=public_jobs_apply-link-offsite",0.027341195695342543,
21,"Lab Assistant","Mount Auburn Hospital","Cambridge, MA","Principal Duties and Responsibilities
Enters data into computer for a variety of applications.
Stains, mounts, and coverslips all cytology specimens including slides and Millipore filters.
Prepares and maintains stains and solutions.
Processes and prepares for staining non-gynecologic cytology specimens, using a variety of methods.
Maintains specified equipment, instruments, and supplies.
Checks inventory of supplies, and notifies supervisor when ordering may be necessary.
Performs various clerical duties in the Cytology laboratory, including filing, telephone answering, sending out mail, etc.
Maintains work area in a neat, clean, and orderly manner.
Complies with requirements of accreditation and regulatory agencies; adheres to established hospital and departmental policies, procedures, and objectives.
Performs other similar or related duties as required, or as directed in all sections, areas, and shifts.
Requirements

KNOWLEDGE, SKILLS, AND ABILITIES REQUIRED
High school degree or equivalent. Six months of laboratory experience/courses preferred. Reading skills verified at ninth grade level or better.
Ability to concentrate and pay close attention to detail for up to 80% of work time for computer data entry, slide staining, coverslipping, and specimen preparation.
Must have good organizational skills.
Some manual dexterity to properly mount Millipore filters and coverslip slides.
Able to work independently on assigned tasks.
WORKING CONDITIONS
Exposure to toxic, carcinogenic, and odorous chemicals.
Exposure to biohazardous patient samples. Adherence to proper safety procedures minimizes the risk of injury.
Sitting and typing at computer terminal three to seven hours per day.
Visual concentration at video display terminal to review data.
Some standing, walking, bending in small physical workspace.
Fine hand manipulation. Repetitive hand movement to enter data.
Ability to distinguish colors.
Some lifting
Complies with precautions, as defined by Infection Control staff, in patients/materials requiring isolation.
Consistently uses sharps safety devices as designed to prevent injuries to self.","https://www.linkedin.com/jobs/view/externalApply/2484836505?url=http%3A%2F%2Fwww%2Elinkup%2Ecom%2Fdetails%2F6b3fb128c169072875be25c8c6279665&urlHash=qBiF&refId=1cc31fbe-198a-4408-a842-f7a4290d4772&trackingId=QsFy7jhHi28QePXLs0WJ5Q%3D%3D&trk=public_jobs_apply-link-offsite",0.012943451864837176,
8,"Laboratory Assistant Internship - St. Louis","Vios Fertility Institute","St Louis, MO","Position Overview

The Laboratory Intern is an essential member of the Vios team. The laboratory intern helps our embryology and clinical teams with vital administrative tasks that include coordinating with partner organizations to ensure safe preservation and transfer of embryos. This position requires flexibility and willingness to take ownership of the role.

This internship period is for one academic year for the fall of 2021 to the summer of 2022. This position is ideal for students who have completed their bachelors or master’s degree and are taking a gap year before pursuing higher education (medical school, grad school, PhD, etc.)

Responsibilities & Tasks
Coordinate with Embryo Options which includes: Logging cryopreservation and thawing events in Embryo Options, auditing Embryo Options to properly reflect patient charts, and coordinating the disposition of tissue between patients, Vios, and Embryo Options
Answer and triage patient question
Complete Quality Assurance and Quality Control paperwork, coordinate tissue transport logistics
Assist with SART data entry and reporting
Complete administrative/clerical tasks such as filing, scanning, answering emails, etc. for the embryology department
Distribute, organize and maintain consent forms for patients. Contact patients to complete consents in timely manner
Communicate with embryology and laboratory team regarding unique cases to ensure the appropriate consent forms are sent
Adhere to all standards, policies and procedures associated with safety, sanitation, confidentiality and company operations
Other duties as assigned


Qualifications & Requirements
Bachelor’s Degree or higher in Biology, Chemistry, Laboratory Science, or related discipline is required
Basic Laboratory skills and knowledge Experience in a medical office or laboratory setting, especially in fertility or women’s health, will greatly contribute to your success as a laboratory intern


Position Details
This role will alternate between our Swansea, IL and St. Louis, MO locations
Occasional weekend shifts required
This is a paid internship, and is eligible for full benefits


About Vios Fertility Institute & Vios Global

Vios Fertility Institute is a cutting edge firm that seeks to bring high tech, personalized care to patients seeking fertility treatment, including intrauterine insemination (IUI), in vitro fertilization (IVF), and third-party reproduction (egg donor, sperm donor and gestational carriers).

At Vios Fertility Institute, we are dedicated to helping each patient, couple and family with all of their reproductive health needs. Our team approach focuses on the patient from day one, with a personalized plan that is best suited for the emotional, physical and financial needs of each individual. Our philosophy is to bring the science and art of medicine to the patient in a customized, welcoming and reassuring atmosphere. Led by our team of expert doctors, lab technicians and nurses to ensure the best results possible, we are dedicated to our patient's fertility success.

Vios Global, our practice management firm, provides business administrative support to all of our locations, including: accounting, human resources, marketing, and business development. The business management team works closely with the Vios Fertility Institute clinical team to fill all open positions at our locations in Illinois, Missouri, and Wisconsin.

What We Offer
Competitive salaries and benefits packages, including PTO, paid holidays, 401k, medical, dental, and vision benefits
Growth-focused startup atmosphere - we welcome your ideas and want you to take ownership of your role
Strong team environment","https://www.linkedin.com/jobs/view/externalApply/2494486569?url=https%3A%2F%2Fviosfertility%2Ecom%2Fabout-vios-fertility-institute%2Fjoin-our-team%2F%3Fgnk%3Djob%26gni%3D8a78879f789e32780178ae49358e73fa%26gns%3DLinkedIn%252BLimited&urlHash=Pftx&refId=1cc31fbe-198a-4408-a842-f7a4290d4772&trackingId=G84%2FkGlUs1AXtjVrLGUHsw%3D%3D&trk=public_jobs_apply-link-offsite",0.014504619150320287,
26,"Lab Assistant","Staffing the Universe Family of Companies","New Brunswick, NJ","Job Description: Medical Staffing Services Inc., is looking for Laboratory Assistant to work in Piscataway, NJ.

The Primary Duties Will Involve The Following
Scientific and technical assistance to multiple staff across the Department of Medicine research
Maintenance of building/research space: checking proper function of all equipment, checking levels of gases, logging in all necessary safety inspections
Ensuring proper logs of monthly checks for eye-wash stations, safety showers, radioactive materials etc.
Maintenance of all shared cell culture space
Regulation of medical waste for all the labs through proper disposal and logging in pick up waste
Performing all autoclaving duties for all research laboratories
Ensuring that all freezers and liquid nitrogen equipment is properly thawed when needed and checked for temperature levels
Maintaining all common glassware and other equipment
Assisting staff with animal experiments and transfer of animals between facilities
Setting up necessary repair or other assistance appointments
Being the person of contact for all research space related questions
Assisting with other research related duties as needed
Keeps abreast of all pertinent federal, state and Rutgers' regulations, laws and policies as they presently exist and as they change or are modified. (To be included in all professional, supervisory and managerial job descriptions.)
Ensures that the staff are trained and evaluated on their knowledge of and adherence to compliance policies and procedures specific to their jobs. (To be included in all supervisory and managerial job descriptions.)


Job Requirements

To perform this job successfully, an individual must be able to perform each essential duty satisfactorily. The requirements listed must be representative of the knowledge, skills, minimum education, training, licensure, experience, and/or ability required. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.

Education And/Or Experience

Experience in a scientific laboratory setting. Must have a basic knowledge of the particular research discipline; skills are normally acquired through an accumulation of work experiences and/or specific work related training programs. Good communication skills and willingness to work with many different staff.
Specify Significant Physical Demands and Work Environment Conditions in the Job Requirements Section.

Physical Demands
Laboratory Assistant must be able to work in a laboratory environment
Some lifting may be required: laboratory items and /or boxes

WORK ENVIRONMENT;
Laboratory Assistant must pass employee health clearance, TB Test and required safety training
Laboratory assistant will be required to follow all safety precautions in laboratory
Education Requirement: Knowledge, Skills, Abilities: Hours: Other Information: Interested in this job opportunity? Please call Jeanne at [732] 353-4247 or email jeanne@medstaffservices.com","https://www.linkedin.com/jobs/view/externalApply/2498251680?url=https%3A%2F%2Fportal%2Estaffing-the-universe%2Ecom%2Fcandidates%2Fmyjobs%2Fopenjob_outside%2Ejsp%3Fa%3Davjdnwvktc8z3bx6l3wwkvfirw921o01dc13686pl8p2ms6rppml7fy62a3w25ra%26SearchString%3D%26StatesString%3D%26source%3Dlinkedin%2Ecom%26id%3D14837710%26compid%3D-1&urlHash=sAkT&refId=1cc31fbe-198a-4408-a842-f7a4290d4772&trackingId=k6%2BhOreSeCk%2B8TVcj50aFA%3D%3D&trk=public_jobs_apply-link-offsite",0.017370705261585764,
20,"Lab Assistant","UC San Diego Health","San Diego, CA","Description

The UCSD Department of Pathology is searching for an enthusiastic lab assistant for a lab studying molecular mechanisms of Parkinson’s disease. This individual will spend the majority of their time conducting experiments and learning new techniques to advance their career in academic research. After a period of training, this individual will be encouraged to work on an independent research project under the direct mentoring of the PI. Techniques include mammalian and bacterial cell culture, CRISPR genome editing, fluorescence microscopy, and molecular biology and protein biochemistry including PCR, immunoblots and flow cytometry. The lab assistant will spend a minority of their time performing routine lab tasks including ordering supplies and assisting with general lab organization.

Minimum Qualifications
Graduation from high school or a GED and one (1) year of laboratory experience or two (2) years of college including courses in the natural, physical or social sciences; or an equivalent combination of education and experience; and knowledge and abilities essential to the successful performance of the duties assigned to the position.
Willingness to learn new laboratory techniques under supervision, including CRISPR and fluorescence microscopy.
Ability to assist with basic aseptic and tissue culture techniques.
Ability to use basic laboratory equipment including centrifuges, spectrophotometers, balances, pH meters, and electrophoresis equipment.
Theoretical knowledge of molecular biology techniques.
Willingness to become familiar with proper handling of chemical and biohazard materials.
Ability to read, comprehend, discuss, and present research materials.
Ability to follow written and verbal protocols, techniques, and instructions and to keep organized and accurate records and notebooks.
Excellent communication and interpersonal skills over a wide range of situations and individuals needed to interact professionally and effectively in the work environment in person, on the phone, and in writing to a diverse population.
Organizational skills to order and maintain lab reagents and supplies, and keep accurate lab records and computer files.
Experience with the operation of a personal computer and software applications, such as Microsoft Office (Word, Excel, PowerPoint).


Preferred Qualifications
Bachelor's degree in a related field.
Track record of publication or strong desire to publish scientific articles.

SPECIAL CONDITIONS
Employment is subject to a criminal background check.","https://www.linkedin.com/jobs/view/externalApply/2475183684?url=https%3A%2F%2Fjobs%2Eucsd%2Eedu%2Fbulletin%2Fjob%2Easpx%3Fcat%3Dsearch%26jobnum_in%3D108629%26search%3D&urlHash=YFv6&refId=1cc31fbe-198a-4408-a842-f7a4290d4772&trackingId=rCAM%2FktPBWythpo51r%2Byvw%3D%3D&trk=public_jobs_apply-link-offsite",0.03310278300751344,
15,"Lab Assistant","Resource Logistics Inc.","Hopkinton, MA","The applications team is in need of a lab assistant who will order and maintain supplies of consumables, PPE, and reagents. This person will also be in charge of scheduling service calls and calibrations of equipment (internal and external) as needed. This person may also assist in equipment or consumable qualification testing.

Job Description

 Order, receive, maintain and distribute stock consumables and reagents to team
 Maintain schedule of equipment calibrations and placing service requests with the vendors as needed.
 Track and, if specifically trained, perform equipment maintenance
 Follow instructions from supervisors
 Perform all job duties in a manner consistent with laboratory and local regulations.
 Maintain good communication with leadership, team members and customers
 Ensure safety, security, and the environment in all aspect of the daily activities, and any potential safety hazards
are addressed and corrected immediately.
 Understand ergonomic relationship between people, equipment and working environment.
 Other duties as assigned

Required Qualifications

 Some working knowledge of a laboratory environment
 Some previous administrative experience, preferably within a health service or laboratory setting
 Good, accurate computer skills
 Be detail oriented, organized, with excellent verbal and written communication skills.
 Have practical knowledge of routine laboratory equipment and procedures
 Able to work effectively and able to deliver on tight datelines

Education - Minimum HSD/GED Equivalent required with 1-2 years experience; or BA/BS degree with 6 Months experience

Working Conditions

 Research lab environment; exposure to blood borne pathogens; must wear personal protective equipment including lab coat, gloves and completely closed footwear. Will be expected to wear face coverings at all times as per pandemic protocols.

Physical Requirements

 While performing the duties of this job, the employee is regularly required to sit, stand, use a keyboard, type, and occasionally stand and move to other parts of the lab
 Must have manual dexterity to use lab equipment
 Reach above/below the shoulder, bend at the knees and waist
 Able to lift boxes up to 25 pounds","https://www.linkedin.com/jobs/view/externalApply/2478129989?url=https%3A%2F%2Fwww1%2Ejobdiva%2Ecom%2Fcandidates%2Fmyjobs%2Fopenjob_outside%2Ejsp%3Fa%3Ds5jdnwz9zghviipem0wiiwxkiyzwsp0726kbwemdzuwfzc7olr6i97zm8k4cznlv%26SearchString%3D%26StatesString%3D%26source%3Dlinkedin%2Ecom%26id%3D15916213%26compid%3D-1&urlHash=9AUr&refId=1cc31fbe-198a-4408-a842-f7a4290d4772&trackingId=Jf3DeFucTAgTf5D5A9PJ5w%3D%3D&trk=public_jobs_apply-link-offsite",0.04238141414618376,
25,"Lab Assistant","Apex Systems","Germantown, MD","Overview
Support daily activities related to managing samples submitted for basic quality control testing and other routine sample testing processes under cGMP compliant regulations. Work with other members of the analytical team, as well as with the quality and food safety team to ensure analytical compliance with required testing. 

Responsibilities
Processing of client samples including sample log-in, partitioning, and shipment to third-party labs
Maintain accurate and up-to-date computer entries regarding samples and tests in Microsoft Excel and Access
Label samples and deliver them to proper areas
Retrieve and re-file samples for testing
Properly store samples for short term and long term storage
Report test results to clients by phone, fax, and e-mail
Pick up glassware from lab areas; clean, dry, and store glassware
Routinely check for and dispose of expired materials
Routinely verify consumable supplies in lab and order replacements as needed

Requirements
Associates Degree in life science
Academic lab experience
1+ year of working with Microsoft Excel
Basic computer skills
Strong written and verbal communication","https://www.linkedin.com/jobs/view/externalApply/2467343823?url=https%3A%2F%2Fsjobs%2Ebrassring%2Ecom%2FTGnewUI%2FSearch%2Fhome%2FHomeWithPreLoad%3FPageType%3DJobDetails%26partnerid%3D25053%26siteid%3D5248%26jobId%3D1455195&urlHash=Hk0L&refId=1cc31fbe-198a-4408-a842-f7a4290d4772&trackingId=14nR3vORtGE4k2%2FaCJtIEQ%3D%3D&trk=public_jobs_apply-link-offsite",0.03712240660905783,
5,"Laboratory Technician - Construction Testing - Seasonal/Internship","S. W. Cole Engineering, Inc.","Vermont","We are currently accepting applications for an internship as a seasonal Laboratory Technician to be based at our office in White River Junction, Vermont. This position involves laboratory and some field testing of construction materials, including soil, concrete, masonry, asphalt, aggregate and other materials associated with a variety of construction projects. The position is primarily based in the laboratory with some field based testing on job sites.

We are a hardworking team with a passion for construction whose focus is to provide high quality services to our clients while helping each other reach our goals. We have a fast-paced professional work environment that combines physical work with the need for thoughtfulness and attention to detail on a variety of different tasks. We provide opportunities for extensive training and job experience to develop your skills and expertise. We train and support our Team's professional development by seeking certifications for construction materials testing (ACI, NETTCP, ICC, ACI, AWS, and/or PCI). The White River Junction, Vermont office is part of the S. W. Cole Engineering team, an established employee owned firm with a history of over 40 years of success and stable growth serving clients throughout New England.

Job Requirements

Candidates must be able to follow verbal and written instructions to complete laboratory and field tests, have a general understanding of computers and ability to learn and use new software programs, and have the ability to read and learn to interpret construction specifications and plans. Familiarity with construction and/or engineering concepts is preferred, but not required.

The physical and mental requirements for this position include lifting up to 75 pounds frequently, as well as moving heavier loads (such as 5-gallon buckets containing soil), stand for long periods of time, as well as move up and down from kneeling to crouching to bending. Must learn to properly operate company equipment, be able to properly transport samples and equipment over uneven ground with varying conditions (including tripping hazards, ice and snow, brush, construction staging, etc.). Requires close, distance, and peripheral vision. Ability to interact appropriately with a variety of individuals including but not limited to coworkers, supervisors, clients. Ability to remember and understand verbal and written instructions including laboratory test procedures. Ability to reason logically and make decisions. The Laboratory Technician is occasionally exposed to variable and potentially extreme weather and temperature conditions. Applicants must have good verbal and written communication skills: Will be required to effectively communicate verbally to clients, project team members, supervisors and coworkers. Will be required to write effectively to complete reports, take notes, record observations and data, and write emails and text messages on a daily basis. Candidates must be able to apply basic math skills for compiling and calculating data. Applicants must have reliable transportation, a valid driver’s License, active automobile insurance and an acceptable driving record. The White River Junction office covers projects within Vermont and parts of New Hampshire.

Education Requirements

High School Diploma or equivalent required. Current students in Associate's or Bachelor's degree programs related to construction management or civil engineering with an interest in the construction and engineering fields are encouraged to apply.

Start Date

The targeted start date for this position will be June 01, 2021.

To apply for this position please complete the application, submit a resume, and include a cover letter outlining how you meet the requirements for this position that are summarized above.

Equal Opportunity Employer/Veterans/Disabled","https://www.glassdoor.com/job-listing/laboratory-technician-construction-testing-seasonal-internship-sw-cole-engineering-JV_IC1141869_KO0,62_KE63,82.htm?jl=4045060957&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic",0.020503773642533182,
14,"Lab Assistant","vivitide","Gardner, MA","Lab Assistant (Gardner, MA) (f/m/d)

vivitide, LLC is an independent, technology-based company, which manufactures and distributes high-quality peptides, antibodies and biochemicals for research and development purposes. Employing highly skilled individuals at our facilities in MA and KY, we strive to create a vibrant environment made up of diverse, agile and passionate professionals.

We are currently hiring for a qualified individual interested in a career in the Biotech/Pharmaceutical industry. Working alongside other peptide scientists, and technicians the Lab Assistant will be responsible for helping to keep production flowing. This is an excellent opportunity to get practical, hands on experience at a thriving biotech company.

Key Responsibilities
Collect, wash, and maintain laboratory glassware.
Load and operate glassware dishwasher.
Wash large glassware items and other laboratory items by hand.
Maintain glassware storage area.
Maintain a clean and safe work area.

Additional Responsibilities
Empty waste baskets in laboratories (daily).
Remove liquid waste from labs and transfer to waste storage tanks (daily).
Service vacuum pumps and perform other preventative maintenance on selected laboratory equipment (as needed).
Assist in moving equipment around the labs (as needed).
Monitor levels in compressed gas cylinders and change out when needed.
Receive incoming packages and supplies.
Other duties as assigned.

Qualifications
Strong organizational skills with an attention to detail.
Solid work ethic and desire to learn
Strong verbal and written communication skills
Ability to work well in a team environment as well as independently
Ability to work around and safely handle hazardous chemicals.
Ability to occasionally lift up to 20kg (44 pounds).
Ability to safely handle laboratory glassware.

Our Offer
Responsibility for a variety of challenging and new tasks within a straightforward and fast paced environment
Flat hierarchies with short communication and decision paths in an agile organization.
A competitive benefits package, stable work environment, vacation and holiday time.
If you are seeking a new challenge in a dynamic environment, please apply through the application link in the job advertisement.

About Vivitide, LLC

Our focus is on helping researchers around the globe in their drug discovery, pre-clinical and clinical development activities with our combined 50+ years of peptide chemistry knowhow and experience. With exceptional customer service, our employees take pride in being part of a vibrant life science community.

Headquartered in Gardner, MA, with significant operations in Louisville, KY, vivitide is a leading provider of custom peptide synthesis services, custom antibodies, catalog peptides and biochemicals to academia, pharmaceutical, biotech, and diagnostic companies worldwide.

Well known for delivering the highest quality of products and manufacturing capabilities ranging from mg to kg, vivitide has furthermore the unique expertise in complex peptide synthesis, such as RGD peptides. The manufacturing of personalized peptides and throughput production are as important to us as antigen design, antibody purification, and custom peptide-antibody conjugation.

vivitide, LLC is an Equal Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, protected veteran status, disability, or any other basis protected by federal, state, or local law.","https://www.linkedin.com/jobs/view/externalApply/2497613611?url=http%3A%2F%2F9nl%2Ees%2F7sH1dG%3Fjz%3D41vtq41822357YMANYAAPAAAQAAAAAAHQ%26tracking-details%3DYmlkPTAuMTUmYmlkdHlwZT1jcGMmc3JjPUxpbmtlZEluXy1fUHViemVlJmpJZD01NjNmNWU2OTlkM2FkNWQ1YWExODE2YTc3OGM3NTdjMiZlbWQ9MC4wMCZwaElkPTF2dHEmZUJpZD0wLjE1&urlHash=Ylte&refId=1cc31fbe-198a-4408-a842-f7a4290d4772&trackingId=zKnqFevEDD2XdiUgBPZCfQ%3D%3D&trk=public_jobs_apply-link-offsite",0.019330156981802796,
