Id,Title,Company,Location,Required Qualifications,Link,Page Rank,
3,"Engineering Curriculum Developer (UZ-FBA9B)","International Rescue Committee","New York, NY","","https://www.internships.com/posting/bug_38970351769?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic",0.04258932029247595,Id,Title,Company,Location,Required Qualifications,Link,Page Rank,
9,"Volunteer: Curriculum Development Summer Internship","Robotics for All","Palo Alto, CA","Founded in April 2017 and officially incorporated in July 2018, Robotics for All aims to bridge close the opportunity gap by providing equitable educational opportunities to students of all backgrounds, particularly underrepresented and underserved students. Our organization previously only provided in-person classes. In July 2020, due to the COVID-19 pandemic, we transitioned our program to an online setting and experienced breakneck growth. In just 5 months, we taught the same number of students as we did in our first 3 years of operations. Our current online classes are for K-8 grader and teach a variety of platforms including Code.org, Scratch, and Python.

Robotics for All is volunteer-based, with currently over 100 volunteers at the time of writing. Our volunteers hail from dozens of states across the United States and several other countries. We encourage you to apply to join our growing community of volunteers.
Across the country, millions of students lack the resources to learn about STEM and computer science. Our non-profit organization, Robotics for All, strives to provide this vital area of education to underprivileged students through engaging online classes.

Robotics for All is seeking volunteer curriculum development interns for this summer (2021). As a summer intern, you will earn service hours while developing critical communication, organization, and leadership skills, all of which will assist you in varying areas of interest. Interns work in helping to develop one of two new curricula Data Science in Python or Sustainability and Climate Change.

If you are interested in joining our team, please read the full position description and apply by April 31st with the following link https //www.roboticsforall.net/summer-internship.html. Late applications will not be accepted.

We look forward to engineering the future with you!

This is a volunteer opportunity provided by VolunteerMatch, in partnership with LinkedIn for Good.","https://www.linkedin.com/jobs/view/externalApply/2470855976?url=http%3A%2F%2Fwww%2Evolunteermatch%2Eorg%2Fsearch%2Fopp3359036%2Ejsp%3Futm_source%3Dlinkedin%26utm_medium%3Ddirect%26utm_campaign%3Dlfg%26_sid%3Dlinkedinforgood&urlHash=zgBn&refId=d16621c1-e858-4fef-8ad2-dad435d8dbef&trackingId=CT%2BIzbVM%2BlaPEEmknf5n1g%3D%3D&trk=public_jobs_apply-link-offsite",0.060320499461035605,
8,"Instructional Design and Delivery Internship","24/7 TEACH","Anywhere","We are looking for interns who share our passion for technology, education, and equality to serve on our IDD team. It is a 40-hour commitment per month initially and a ground-floor opportunity to help build something worthwhile.

DISCLAIMER: In order to be considered for this position you must go to http://247teach.org/instructional-design-internship/ to complete an application. When your application is received someone from our team will contact you with next steps.

What you’ll do:

- Help influence 24/7 Teach's strategy and instructional content

- Work on different projects that promote quality instruction and assessment

- Support the development of 24/7 Teach's Project-based learning curriculum and interactive learning experiences

- Build relationships with specific partners at all levels -- from interns to academic and administrative leadership

- Participate in company-wide professional development initiatives

Other responsibilities as necessary

What we’re looking for:

 Bachelor’s degree or proof of current enrollment, preferably with degree or focus in instructional content areas, education, education technology

- Experience with Microsoft Office Suite, Google for Work Suite, LMS, instructional technology

- At least 1 year of experience in education field

- Interest in educational technologies, innovative business models, and digitization of education

- Proven client relationship or entrepreneurial skills

- Outstanding interpersonal and communication skills

- Proven ability to set priorities and manage expectations, time management

- Positive team player with comfort with ambiguity and proactive approach to problem-solving

- Outgoing and enthusiastic personality

- Detail-oriented

- Ability to produce and progress an agenda autonomously, without frequent direction or check-ins

What you’ll learn:

Our internships are focused on education development, 21st-century skill mastery, leadership development, and analytical thinking. Additional trainings include:

- Project Based Learning frameworks

- How to research and evaluate online curriculum

- Evaluation of Assessments

- How to create an effective Assessment

- How to create an effective project

- Digitizing Instructional content

Additional Information:

24/7 Teach Interns are challenged to add value to projects and are encouraged to take risks, and think outside of the box. We invest in our interns by providing them with clear direction and leadership for a robust and rewarding experience. Our Interns do not serve as assistants, work on projects that directly generate revenue for the organization, and do not displace regular employees.

This is a tremendous opportunity for students to gain start-up and general business experience, improve their specific technical skill sets, and help build something that will have a great social impact.

Key value points to consider about this internship:

- The position is a remote position

- Offers extensive learning opportunities

- Has a flexible schedule that allows you to take advantage of other opportunities including School, other internships, and or Jobs

- Is great for building your resume,

- You will work on real projects and not menial task

- You will have Professional Development opportunities

- When the internship is complete, you will receive a digital portfolio of your achievements, skill badges, and a Letter of Recommendation.

How to Apply:

Please go to http://247teach.org/instructional-design-internship/ to complete an application. When your application is received someone from our team will contact you with next steps.

24/7 TEACH focuses on K-12 Education, Tutoring, Technical Continuing Education, and Corporate Training. Their company has offices in New York City and Orlando. They have a small team that's between 11-50 employees.

You can view their website at http://www.247teach.org or find them on Twitter, Facebook, and LinkedIn","https://angel.co/company/24-7-teach-1/jobs/168933-instructional-design-and-delivery-internship?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic",0.08557216821740365,
10,"Intern Cisneros Institute for Emerging Leaders","Texas A&M University-San Antonio","San Antonio, TX","Under the direct supervision of the Director of the Cisneros Institute for Emerging Leaders, the Intern will be responsible for assisting in the development of all leadership certificates. As a growing institute, we are partnering across campus and in the San Antonio community to offer leadership certificates that are population and topic specific. We currently offer two leadership certificates: Emerging Leader Certificate and the Aspiring Teachers Leadership Certificate for first-year transfer students. Our goal is to offer three additional leadership certificates by 2022. The Intern's key responsibility will be to develop the curriculum and presentations for the certificates. In addition, they will support with the development and execution of a summer residential program for 24 high school students taking place July 18-23, 2021.

A successful Intern should possess excellent communication, organization, administration, and project management skills as well as a commitment to educate students, engage the community, and enrich the Jaguar experience.

Duties and Responsibilities:

Lead the development of curriculum writing and presentations for all leadership certificates.
Support in ensuring a seamless delivery of leadership certificates which include: certificate development and delivery, certificate logistics, and participants’ communication and ongoing engagement.
Assist in the assessment, evaluation, planning, implementation and evaluation of leadership development programs.
Find or create materials, such as activities, processes, documentations of learning, and assessments. Revise modules during the process according to internal feedback.
Serve on campus and departmental committees related to leadership development and student engagement as needed.
Work collaboratively with other students and professional staff in the Cisneros Institute for Emerging Leaders to accomplish various programming and training goals.
Support with the development and execution of a summer residential program for 24 high school students taking place July 18-23, 2021. Must be available on these dates.
Education and Experience:

Continued good standing as a graduate student in a graduate degree-granting program.
Experience in curriculum and professional learning, including writing and development of curriculum.
Knowledge of and experience in developing year-long or semester-long courses.
Knowledgeable of student leadership theories.
Strong interpersonal communication skills and the ability to interact with a diverse population.
Demonstrated experience and skills related to program development, leadership development, student development and working with groups.
Takes initiative, demonstrates strong leadership ability, and demonstrates a strong commitment to leadership development.
Be a positive representative of A&M-SA; foster a caring and inclusive environment to our Jaguar family.
Familiarity with Gallup Strengths, not required but highly desired.

Full Job Description: https://tamus.wd1.myworkdayjobs.com/en-US/TAMUSA_External/job/San-Antonio-TAMUSA/Intern-I_R-036589","https://www.linkedin.com/jobs/view/externalApply/2497068311?url=https%3A%2F%2Ftamus%2Ewd1%2Emyworkdayjobs%2Ecom%2Fen-US%2FTAMUSA_External%2Fjob%2FSan-Antonio-TAMUSA%2FIntern-I_R-036589%3Fsource%3DLinkedin&urlHash=gleA&refId=d16621c1-e858-4fef-8ad2-dad435d8dbef&trackingId=GZpC6znocjHq1ke3mJRVjA%3D%3D&trk=public_jobs_apply-link-offsite",0.1564901015842684,
2,"Instructional Design Intern","International Rescue Committee","New York, NY","Job Information

International Rescue Committee Instructional Design Intern in New York, New York

Requisition ID:req13872

Job Title: Instructional Design Intern

Sector: Social Work

Employment Category: Intern

Employment Type: Part-Time

Open to Expatriates: No

Location: New York, NY RAI USA

Job Description

The RAL Instructional Design intern will play an important role in increasing the number of training resources available to IRC staff. Staff development is one of IRCs overarching strategic goals.

COMMITMENT: 6-12 months

RESPONSIBILITIES: Assist with the administration of virtual learning courses (tracking student progress, writing reports, posting surveys, moderating the technical aspects of webinars), Assist with the cultivation and support needs of IRCs communities of practice. Assist the Research, Analysis and Learning team to create short animations for use to explain basic M&E concepts, research findings, etc. Support online meetings, webinars, and other virtual engagements through the development of material, interactive enhancements, and evaluation and back end support.

REQUIREMENTS:

Bachelors required, Masters or coursework in instructional design, educational technology, or a related field preferred

Two years minimum experience working with the creation of educational materials

Proven experience with graphic, elearning, and webinar platforms and software (Articulate, Zoom, Adobe Photoshop, Premiere or other video editing software)

Experience creating animations a plus

Excellent skills in Microsoft Office programs

LEARNING OBJECTIVES:

1.The intern will develop skills in creating animations for learning.

2.The intern will enchance training evaluation skills.

3.The intern will strengthen skills on designing and cultivating peer-to-peer and virtual training initiatives.

This position reports to the Director of Training and Instructional Design

IRC leading the way from harm to home.

IRC is an Equal Opportunity Employer IRC considers all applicants on the basis of merit without regard to race, sex, color, national origin, religion, sexual orientation, age, marital status, veteran status or disability","https://www.internships.com/posting/bug_38970351769?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic",0.04711443552278225,
1,"Charter School Curriculum Development Intern (REMOTE) (UNPAID)","CHOYCES, LLC","Anywhere","Please note that this is an UNPAID and REMOTE position.

College credit and/or a letter of recommendation will be provided at the end of the internship if needed.

The internship is also open to undergraduate, graduate, and Ph. D. students.

CHOYCES (Creatively Helping Our Youth Conquer Education & Success) is a for profit organization that provides tutoring and educational consultation services.

This organization purposes to meet the immediate and future needs of youth by providing them with skills that will support their learning and develop their creative gift.

Through positive community relationships, it provides and creates an atmosphere through creative thinking that will help them reach and maintain success with the goal of making education a priority.

We believe that through motivation, dedication and hard work, anything is attainable.

We are looking for a Curriculum Developer Intern to create a social justice based curriculum for elementary, middle, and high school grade levels in STEAM education.

Responsibilities:Create a suite of curriculum products, including a year-long plan, unit plans and instructional resources so the district achieves established student achievement goals.

Create, refine, and edit biweekly, end-of-module, semester, and mock assessments so that they are completed.

Plan and design instructional material (lessons, assessment items, art, animation, etc.)Continuously learn and uphold cutting-edge standards in learning engineering (i.e., the practical application of learning science, and instructional design principles)Develop products in accordance with project plans, budget, and timelinesRequirements:Experience in K-12 is a plus and should be mentioned in your applicationCurriculum Development: 1 yr (preferred)Education: 1 yr (preferred)This Job Is:A good fit for applicants with gaps in their resume, or who have been out of the workforce for the past 6 months or moreA good fit for applicants looking to get more practical experience while contributing to the communityA good job for someone just entering the workforce or returning to the workforce with limited experience and educationA job for which all ages, including older job seekers, are encouraged to applyA job for which people with disabilities are encouraged to applyJob Types: Part-time, InternshipPay: $0.01 - $0.02 per hourBenefits:Flexible scheduleSchedule:10 hour shiftEducation:Bachelor's (Preferred)Experience:Curriculum development: 1 year (Preferred)Education: 1 year (Preferred)Work Location:Multiple locationsHours per week:10-19Internship Compensation:College CreditCompany's website:CHOYCES.ORGWork Remotely:YesCOVID-19 Precaution(s):Remote interview processVirtual meetings","https://wfhjobsnear.me/jobs/charter-school-curriculum-development-intern-remote-unpaid_ad008aeaa8916e97_0_3?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic",0.07057498424756539,
4,"2021 Education Technology Fellowship - Full time, paid position from July to...","International Rescue Committee","New York, NY","","https://www.internships.com/posting/bug_38970351769?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic",0.04258932029247595,
0,"Design Intern","Curriculum Associates","Billerica, MA (+1 other)","Design Intern

At Curriculum Associates (CA), we believe a diverse team leads to diversity in thinking, making our products better for teachers and students. If you read this job description, feel energized by what you see here, and believe you could bring passion and commitment to the role, but you aren’t sure you meet every qualification, please apply! Above all, we are looking for the right person!

Overview:

Founded in 1969, Curriculum Associates is a leading educational technology and publishing company with a mission to make classrooms better places for students and teachers. As a company, we have both a responsibility and the opportunity to reduce the effects of systemic racism for the students, educators, and educational communities we serve and for our team members. We are committed to ensuring CA is a champion of antiracist ideals in our service to schools, in our products, and in our company culture. Our research-based, award-winning print and digital instruction and assessment products provide educators with the tools necessary to personalize learning for every student and help all students become college and career-ready.

Grow your professional career with a paid internship program at one of the fastest-growing EdTech companies in Massachusetts! This program offers college students an opportunity to network with peers, engage in meaningful projects, and develop new skills, all while making a real impact on teachers and students across the country.

Curriculum Associates is looking for design interns to assist our growing marketing/creative team. You will design and execute creative print and online marketing materials, which will primarily consist of brochures, flyers, tradeshow booth graphics, web graphics, emails, infographics, sales support pieces, and direct mail.

Why join this team:
• Gain valuable experience working with a 12-person in-house design team supporting sales and implementations
• Work directly with and gain knowledge from Senior Designers while building your resume and portfolio
• Work in a mission-based atmosphere making classrooms better places for students and teachers
• The duration of this internship is 10–12 weeks with a flexible start date and hourly schedule

The impact you’ll have:
• Work under the direction of the Senior Designers to create and execute high fidelity, fully designed creative marketing materials
• Work closely with writers, developers, and production teams to bring materials from conception to production

Who we’re looking for:

Successful candidates will thrive in a fast-paced environment and demonstrate a record of achievement:
• A strong appreciation and understanding of both web and print design (interactive design a plus)
• A strong portfolio that shows great potential
• Attention to detail
• High standards of quality
• Deadline driven mindset
• Excellent communication and listening skills
• Openness to constructive criticism
• Organizational and time-management skills
• Openness and excitement to learn
• Mac-based proficiency
• Adobe CC: InDesign, Photoshop, Illustrator
• Microsoft Office 365: PowerPoint, Word

More about this role:

Location: We would prefer candidates to be based out of our Billerica, MA office

Salary: $20/hour","https://www.glassdoor.com/job-listing/marketing-design-intern-curriculum-associates-JV_IC1154645_KO0,23_KE24,45.htm?jl=4028893891&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic",0.10981761557438574,
5,"Partnerships Program Intern, Curriculum & Content","The Opportunity Network","New York, NY (+1 other)","Position: Partnerships Program Intern, Curriculum & Content Reports to: Senior Partnerships Manager Status: Part-Time Duration: May 2021 June 2022 Location: Remote until at least August 2021 The Organization Since 2003, The Opportunity Network has ignited the drive, curiosity, and agency of students from historically and systematically underrepresented communities to connect them to college access and success, internships, career opportunities, and personal and professional networks. Our two core programs, OppNet Fellows and Career Fluency Partnerships, are anchored in our proprietary Career Fluency curriculum, which articulates the necessary skills and mindsets for college and career readiness. All of the work OppNet leads is in service of realizing our vision of a nation connected through vibrant communities and networks actively in pursuit of social justice and educational equity a nation where all young people can freely create their own path to enduring success that honors their passions, ambitions, and full identities. The Opportunity We are looking for an exceptional Partnerships Program Intern to assist the OppNet Partnerships team in managing and developing components of the Career Fluency Partnerships Program and Opportunity Ignited Program as it relates to developing our virtual and in-person curriculum for students, educators, and corporate employer partners. In addition, the Partnerships Program Intern will play a supporting role in project management. This is a year-long opportunity to be part of a team expanding an innovative program model that will impact thousands of students across the country. Responsibilities Convert in-person Career Fluency curriculum into virtual lessons to increase access to materials and content for young people across the country Develop new virtual lessons for young people in accordance with OppNets mission and pedagogy Support in the development of virtual and in-person lessons and content that aim to help corporate partners foster inclusive and diverse work environments The sessions will be informed by the experiences of interns and employees who identify as first-generation college graduates and people of color. Support Partnerships Team in duties related to effective Career Fluency and Opportunity Ignited curriculum implementation, which include: Updating training and marketing materials such as PowerPoint presentations, worksheets, and one-pagers Codifying and standardizing best practices within Partnerships Team workflow streams Working creatively to continuously improve Career Fluency curriculum in accordance with OppNets mission and culturally responsive pedagogy If we return to the office during the fall of 2021, this will include filing, copying, and other administrative tasks The Person The ideal candidate will personally connect to the important work we do and value diversity, equity, and inclusion (DE) across the organization. The candidate will demonstrate DE values by actively participating in all organization-wide learning sessions and self-reflection, as well as working with others to enact changes that contribute to meeting the organizations DE goals. The candidate should possess outstanding organization and attention to detail, energy and initiative, the ability to prioritize and complete a variety of tasks on time, and a willingness to work on a wide range of assignments. Requirements This position requires availability for 15-20 hours during the week and a Bachelors degree. It will be remote until at least August 2021, and then may require on-site work in our Manhattan office if it is safe. The ideal candidate will have these key assets and attributes: Experience with virtual and in-person curriculum development Knowledge of innovative training methods for building inclusive workplaces Demonstrated alignment with OppNets core values in diversity, equity, and inclusion Strong written and verbal communication skills Strong skills using Google Suite and Microsoft Office Detail-oriented; can be counted on to produce high-quality work Ability to take initiative and work with minimal supervision Exceptional project management skills Adaptable, solutions-oriented and driven in innovative spaces Classroom or other youth development/facilitation experience preferred Marketing experience and/or basic design skills are a plus Compensation $20/hour Application Instructions Please send your cover letter and resume to with the subject line Partnerships Program Intern Application and confirmation that you can work on-site in our Manhattan office if it is safe in the fall","https://www.rocajob.com/job/partnerships-program-intern-curriculum-content-in-new-york-new-york/6489-11549896947E?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic",0.05283547405670246,
7,"High School Curriculum and Instruction Intern","DREAM Charter School","New York, NY (+1 other)","Originally founded in 1991 as Harlem RBI, DREAM has grown to annually serve more than 2,500 youth across East Harlem and the South Bronx through a network of six PreK-12, extended-day, extended-year DREAM Charter Schools and community sports-based youth development programs. Through our commitment to rigorous academics, social-emotional learning, deep family and community engagement, and health and wellness, we create lifelong learners who are equipped to fulfill their vision of success in and out of the classroom. We dream big, as well, with an aggressive five-year plan to expand to serve 3,500 students across seven schools-growing our organization's impact and leveling the playing field for all children. To learn more, visit wearedream.org.

Reporting to the Director of Curriculum and Instruction, the High School Curriculum and Instruction intern will be responsible for helping drive the curriculum and instructional strategies of our school. DREAM Charter High School cultivates critically conscious young people who use their achievements to dismantle systems that do not serve them and uplift their community. We are looking for an intern to support the coherence and cohesion of our instruction by supporting us in codifying and implementing systems as well as auditing student data and school resources. This is an exciting opportunity for candidates interested in education, instruction & data tracking.

Responsibilities
• Contribute to the academic handbook;
• Audit academic systems, units and lesson plans;
• Support the design of new academic systems and student attendance protocol;
• Support the analysis of academic results;
• Monitor student attendance;
• Organize trackers.

Hours and Location
• Hours: Monday-Thursdays: 10 am - 4 pm from June 1 - Mid-August
• Location: 439 e 115th street New York, NY 10029

Qualifications
• Undergraduate status at an accredited University;
• Strong written and verbal communication skills;
• Proficient with Excel; Proficient in Google suite apps;
• Passion for equity and justice;
• A strong belief in the mission and values of DREAM, including the belief that all students can succeed, and a deep desire to make a difference in the lives of our students, families, and community.

OUR COMMITMENT TO DIVERSITY, EQUITY, AND INCLUSION

At DREAM, diversity, equity, and inclusion are a matter of mission.

From our schools to our playing fields, DREAM is committed to building a team where each individual can bring their full identity and experience to work because representation matters-it enriches our team culture, enhances our ability to innovate, and strengthens our impact in and out of the classroom. DREAM engages staff that represent and appreciate the diversity of our majority Black and Hispanic student body, while working to ensure that our practices are equitable, welcoming, and productive. We are dedicated to creating a world where youth, especially youth of color, have permission to dream-along with the tools and opportunities to make their dreams reality.

Come dream with us.

DREAM MAXIMS

All Kids Can. This Kid Can.

DREAM is Family.

Fun is a Serious Value.

Teamwork Makes the DREAM Work.

Fail. Persist. Exceed.

DREAM Big","https://www.topschooljobs.org/job/1127840/high-school-curriculum-and-instruction-intern/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic",0.04258932029247595,
6,"Curriculum Engineer / Design Intern","Lux","New York, NY","Lux is a new curriculum platform for schools that emphasizes skills over content. We track how a student is doing by using different categories of assessment to develop a simplified picture of their thought process and the memories they have of course content. We also teach an ancient memory technique that relies on memories of locations that the user has traversed. for this reason our app will rely on neuroscience, AI, and geographic information expertise to improve the learning process for students.

A team with needs that diverse must be a welcoming place, and we hope to foster that in our culture. As a Curriculum Engineering Intern, you'll have the opportunity to interact with researchers and software developers alike on creating the best possible curricula in science and the humanities. You will learn our signature content delivery format, and employ modern curriculum theory in the development of engaging, cognitive skill boosting course content informed by the latest neuroscience and cognitive science.

We're looking for:
• Education or educational psychology coursework
• Significant Experience with building curricula from the ground up.
• Familiarity with major curricular paradigms.
• Familiarity with adaptive courseware a huge plus.
• Ability to rapidly learn about new subject matter and translate that learning into curricular modules.
• Familiarity with NGSS and other curriculum standards a plus.

Lux focuses on Education, K-12 Education, and Education Technology. Their company has offices in New York City. They have a small team that's between 1-10 employees.

You can view their website at https://luxlearning.org","https://angel.co/company/luxlearning/jobs/1279995-curriculum-engineer-design-intern?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic",0.28950668610320274,
3,"Engineering Curriculum Developer (UZ-FBA9B)","International Rescue Committee","New York, NY","","https://www.internships.com/posting/bug_38970351769?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic",0.04258932029247595,
