Id,Title,Company,Location,Required Qualifications,Link,Page Rank,
26,"Accounting Intern","Golden Hippo","Los Angeles, CA","Who We Are

Golden Hippo is a successful, growing direct to consumer digital marketing company committed to helping everyone live their healthiest life. We create cutting edge health, wellness, and beauty products and work tirelessly to get them into the hands of the people who need them most - our customers. Our e-commerce platform enables us to do so powered by incredible tech talent. We're growing fast, but our core values remain the same as when we were founded in 2010. If you're passionate about cutting edge marketing and technology, design, copywriting and video editing, and the operations behind all this, we want to hear from you. And if you are results driven, ambitious, a creative problem-solver, have a positive energy, collaborative and team oriented, and a continuous learner we might just be the perfect place for you!

THE ROLE

Golden Hippo is currently looking for an Accounting Intern to join us during our 2021 Summer Internship Program. Golden Hippo’s Internship Program will run from June 7th – August 27th. We are planning an internship experience that will provide interns with an experiential experience where the interns can learn new skills that can benefit a long-term career. There will be great opportunities for project work, professional development, networking opportunities as well as social activities. The Accounting Intern will have the ability to learn about the accounting processes for a growing digital marketing and advertising business. In this role, you will be able to better understand what a great process documentation and contribute enhancement opportunities to our A/P Process.

WHY YOU SHOULD WORK WITH US

At Golden Hippo you have a chance to make an impact. You will have the opportunity to be innovative, take initiative and grow. You will work among friends every day you will see the results of your work firsthand. We work in a lively, laid back work environment with a fully stocked kitchen for our employees to use. We pride ourselves in our incredibly diverse workforce. We intentionally strive to cultivate, create, and celebrate a rich, vibrant, and inclusive culture of belonging where our employees feel respected and empowered. We also offer:
In-office CrossFit gym with professional coaches
Yoga and meditation breaks
Casual, no dress code atmosphere and an open, inspiring office space
Ongoing learning and development opportunities
Fun events and regular celebrations
Highly interactive work with a talented, diverse, passionate team
See what it’s like working at Golden Hippo!

What Your Day Will Look Like
Create process documentation for accounting team
Assist the accounting staff with vendor management, invoice processing, variance reviews, etc.
Draft trend analysis for individual brands
Review current A/P processes and identify areas of improvement

IDEAL CANDIDATES WILL HAVE
Juniors or rising seniors in a 4-year university, working towards a degree in Accounting or Business or Master’s candidates with a focus on Accounting
At least 1 year of previous accounting or bookkeeping experience preferred
Students interested in pursuing a CPA Certification are preferred
Strong abilities with Microsoft Excel
Attention to Detail
Data-driven
Takes ownership
Excellent organizational skills
Ability to prioritize
Discretion in working with confidential information
Golden Hippo is always looking for smart, driven self-starters who are excited to build a place for themselves in one of the most fun, exciting companies in Los Angeles. If you thrive on community and communication, learning from your failures, and embracing the unexpected, Golden Hippo just might be the place for you.

Golden Hippo Company Culture Highlights:
Winner of Comparably's Award for Best Company in Los Angeles 202019
Winner of Comparably's Award for Best Company Happiness 202018
Golden Hippo is ranked in the top 5% of companies for Work Culture on Comparably.
Check us out on Comparably!

Equal Employment Opportunity
Golden Hippo strongly supports equal employment opportunity for all applicants regardless of age (40 and over), ancestry, color, religious creed (including religious dress and grooming practices), family and medical care leave or the denial of family and medical care leave, mental or physical disability (including HIV and AIDS), marital status, domestic partner status, medical condition (including cancer and genetic characteristics), genetic information, military and veteran status, political affiliation, national origin (including language use restrictions), citizenship, race, sex (including pregnancy, childbirth, breastfeeding and medical conditions related to pregnancy, childbirth or breastfeeding), gender, gender identity, and gender expression, sexual orientation, or any other basis protected by applicable federal, state or local law, rule, ordinance or regulation.
We will consider qualified applicants with criminal histories in a manner consistent with the requirements of the Los Angeles Fair Chance Ordinance, for applicants in Los Angeles, California, and consistent with applicable laws in other areas.

Hiring Practices
The preceding job description has been designed to indicate the general nature and level of work performed by employees within this classification. It is not designed to contain or be interpreted as a comprehensive inventory of all duties, responsibilities, and qualifications required of employees assigned to this job. Golden Hippo recruitment policies are designed to place the most highly qualified persons available in a timely and efficient manner. Golden Hippo may pursue all avenues available, including promotion from within, employee referrals, outside advertising, employment agencies, internet recruiting, job fairs, college recruiting and search firms.

Powered by JazzHR

Vg9w303LG8","https://www.linkedin.com/jobs/view/externalApply/2348465927?url=https%3A%2F%2Fwww%2Etesla%2Ecom%2Fcareers%2Fsearch%2Fjob%2Ffinance-corporate-accounting-fund-payroll-internship-fall-2021-80316%3Fsource%3DLinkedIn&urlHash=LP-n&refId=64306796-c286-4e3c-8b5e-315233b5e8d0&trackingId=s9bOxquzh7J8GDfVKozTpA%3D%3D&trk=public_jobs_apply-link-offsite",0.011763930007118362,
25,"Finance - Corporate Accounting (Fund & Payroll) Internship (Fall 2021)","Tesla","Draper, UT","Disclaimer: This position is expected to start around August or September 2021 and continue through the entire Fall term (i.e. through December/January) or into early Spring 2022 if available. We ask for a minimum of 12 weeks, full-time, for most internships. Please consider before submitting an application.

International Students: If your work authorization is through CPT, please consult your school before applying. You must be able to work 40 hours per week. Many students will be limited to part-time depending on their academic standing.

Internship Program at Tesla

The Internship Recruiting Team is driven by the passion to recognize emerging talent. Our year around program places the best students in positions that they will grow both technically and personally through their experience working closely with their Manager, Mentor, and team. We are dedicated to providing an experience that allows for the intern to experience life at Tesla by given them projects that are critical to their team’s success.

Instead of going on coffee runs and making copies, you’ll be seated at the table making critical decisions that will influence not only your team, but the overall achievement of Tesla’s mission.

Locations
Draper, Utah

About The Role

The Tesla Fund and Payroll Accounting teams are based in Draper, Utah. The successful intern candidates will be responsible for the following:

Fund Accounting Intern

Competitive Candidates Should Possess The Following

The Fund Accounting team supports the accounting and financial reporting of solar activity. This role will assist with detailed forecasts and financial reporting for solar partnerships entities and perform extensive data analysis.
in pursuit of a Masters in either Accounting or Finance
strong analytical skills
extensive knowledge of GAAP
experience analyzing large sets of data in Excel and database environment
strong communication skills
experience working in a fast-paced environment with tight timelines
advanced excel skill set as well as Power Query, BI and SQL queries
Payroll Accounting Intern

Competitive Candidates Should Possess The Following

The Payroll Accounting team supports payroll processing for approximately 7,000+ employees within US, Canada and Mexico out of a 30,000+ base. This intern role will perform duties that require an understanding of company payroll policies and procedures with a strong level of customer service.
in pursuit of Bachelors degree in Accounting, Finance or Business Administration
Advanced excel skill set
detail orientated
strong communication skills
understanding of audit procedures, tax and accounting principles
experience working in a fast-paced environment with tight timelines","https://www.linkedin.com/jobs/view/externalApply/2348465927?url=https%3A%2F%2Fwww%2Etesla%2Ecom%2Fcareers%2Fsearch%2Fjob%2Ffinance-corporate-accounting-fund-payroll-internship-fall-2021-80316%3Fsource%3DLinkedIn&urlHash=LP-n&refId=64306796-c286-4e3c-8b5e-315233b5e8d0&trackingId=s9bOxquzh7J8GDfVKozTpA%3D%3D&trk=public_jobs_apply-link-offsite",0.013060165153669086,
6,"Accounting Intern","Xactly","Providence, RI","Xactly Corporation was founded to solve an important challenge: how to help people everywhere connect and unleash their human potential through seamless, perfectly aligned Sales Performance Management. Xactly's comprehensive Sales Performance Management (SPM) suite leverages data from a sales performance AI platform to provide timely insights across the entire SPM value chain, from sales planning to execution, including compensation to optimization. Xactly takes Sales Performance Management from a dark art to a science, providing decision-makers with the data insights they need to tap the motivational power of their incentive compensation. With access to predictive analytics and benchmark data, enterprises can now optimize territories, design the right compensation and incentive plans and accelerate attainment and optimization of sales performance.

Named among the best workplaces in the U.S. by Great Place to Work seven times, recognized as a 2020 WayUp Top 100 Internship Program named as a Top Workplace by the Bay Area News Group eight times as well as The Denver Post the last 3 consecutive years, and honored with the Business Intelligence Group Sales and Marketing Technology award in 2020. Xactly is proud to be disrupting the Sales Performance Management market space. We're building a culture of success and are looking for motivated professionals to join us!
• THE OPPORTUNITY*

Are you a career driven student looking to take your first step into the world of Accounting? Xactly, the leading sales performance management software company, is seeking a full-time Accounting Intern to support our Global Accounting team starting this summer 2021. This role is a 12-week internship starting in June 2021.

As the Accounting Intern in Xactly Corporation's growing Denver office, you will have the opportunity to work alongside a world-class accounting team of experienced accountants and CPA's with exceptional work ethic and personalities. You will begin your internship by learning some of the foundational accounting activities such as accounts receivable, accounts payable, reconciliations and shadow some of our accountants in this Best Place to Work organization. Once acclimated, your day will consist of more challenging activities such as complex reconciliations, analysis, accounting projects and working with management on solutions to meaningful issues. These activities will help you gain exposure to other facets of accounting and a glimpse into what your career may look like in 5, 10 or even 20 years. Your summer internship will culminate in a final project, during which you will have the opportunity to present to Xactly's executive staff. On top of the above, you will participate in fun intern events, will learn a lot and will have a lot of FUN!
• THE TEAM*

Xactly's Accounting team is a group of remarkably smart, driven, and exceedingly fun people with diverse backgrounds. We are a team that puts people first! True believers in the Xactly Culture, the Accounting team ties Xactly's C.A.R.E. (Customer Focus, Accountability, Respect and Excellence) values into everyday things we do. Our team is made up of world-class big 4 CPA's, accounting management, young up-and-comers, and veterans. All of these people are ready to help you learn!
• THE SKILL SET:*

- Working towards a bachelor's degree with a graduation date between December 2021 - June 2023
- The desire to pursue a career in Accounting post-graduation
- You have outstanding organizational skills
- You're proactive, creative, entrepreneurial and results-oriented
- You are able to prioritize requests based on importance and timing
- You have a passion for learning and are results oriented
• WITHIN ONE MONTH, YOU'LL:*

- Develop a working relationship with Xactly's Accounting and Finance department
- Have completed a 1:1 with each member of the Accounting and Finance teams and have a strong understanding of how Xactly's Accounting department operates
- Receive administrative training on how to leverage internal tools including Box, Workday, Salesforce, Excel
- Gain a strong understanding of Sales Performance Management space and the business challenges Xactly solves
- Have a high-level understanding of the full lifecycle of an accounting close
- Gain exposure and contribute to Accounting areas including general ledger, accounts payable, accounts receivable, revenue and management
• BY THE END OF THE INTERNSHIP, YOU'LL:*

- Have a strong understanding of how Xactly's accounting functions
- Have the ability to learn each area of accounting to see what you like
- Have a deep understanding of how our accounting processes and systems work
- Successfully present your end-of-internship presentation to Xactly's executive staff

Is this role not an exact fit for you? Keep an eye on our Careers Page for other positions","https://www.jobs4millennials.com/Providence-Rhode-Island-USA-job/ACCOUNTING-INTERN/88b33b41bdd88b0e/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic",0.011391515094427717,
14,"GL Accounting Intern","Formlabs","Somerville, MA","Formlabs is growing by the minute and we're looking for more accounting smarts on our Finance & Accounting team. At Formlabs, our GL accounting team takes a thorough and analytical approach to closing the books and owning the general ledger. Are you interested in industry accounting and ready to apply your analytical eye to accounting processes? If you are excited to have a high impact within a fast-growing company, we want you to join us as our GL Accounting Intern.

The Job
Assist in daily operations, such as cash reconciliation, fixed asset and prepaid accounting assessment, expense coding review
Participate in monthly closing procedures such as balance sheet reconciliations, journal entry posting, and trended financials reviews
Perform accounting-specific analytical projects
Collaborate with others to tackle ad hoc reporting and analysis


You
Accounting or Finance major interested in the nitty gritty of industry accounting
Ready to show off and apply your Excel prowess
Eager to master NetSuite
Not afraid to dive deep into the details and solve problems


Bonus
Passionate about 3D printing and the tech industry
Advanced Excel skills

We are an equal opportunity employer and value diversity at our company. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status.

Even if you don't check every box, but see yourself contributing, please apply. Help us build an inclusive community that will change the face of 3D printing.","https://www.linkedin.com/jobs/view/externalApply/2495173789?url=https%3A%2F%2Fgrnh%2Ese%2Fd579c3151us&urlHash=l4tb&refId=64306796-c286-4e3c-8b5e-315233b5e8d0&trackingId=UWyBYmDaVp3Yg2JI8Fhk9g%3D%3D&trk=public_jobs_apply-link-offsite",0.024520299714129185,
33,"Finance Intern - Summer 2021","Xpanse","Seattle, WA","It currently takes the same amount of time to process an average American mortgage as it does to walk nonstop from Manhattan to San Francisco! Xpanse is working to change that.

It’s our mission to create a universal platform that brings clarity, ease, automation and security to the origination process. Our SaaS platform will power the mortgage industry and its relationships with a massive network of third-party providers that are integral to the mortgage process. By focusing on the customer, using automation, real-time intelligence, big data, and analytics we are changing the way borrowers, lenders, servicers, and service providers take care of business.

Disrupting an industry is a team sport, so we are looking for the best and brightest to make an impact and change the future of an $11 trillion industry. We are growing rapidly in the Seattle Area and looking for Finance Interns currently completing their undergraduate degree to join our team for the summer of 2021.

What You Will Be Doing
Perform in-depth industry analysis searching for target companies
Audit company financials and update monthly budgeting and forecasting
Engage in financial research and strategic analysis for fast growing fintech startup
Apply critical thinking to solve complex business problems
Perform due diligence in acquisitions


Who You Are
A team-first mentality, and value collaborative results over personal accolades
An owner’s instinct and sense of responsibility
An ability to execute challenging gameplans and deliver measurable results
An eagerness to learn about new technologies and businesses


Basic Qualifications
Pursuing a bachelor's degree in Finance or related field

Xpanse is an equal opportunity employer and value diversity at our company. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status.","https://www.linkedin.com/jobs/view/externalApply/2486491690?url=https%3A%2F%2Fcareers%2Ebrooks%2Ecom%2Fjob-detail%2Ffinance-intern-r4954%3Futm_campaign%3DLinkedIn&urlHash=2PFG&refId=64306796-c286-4e3c-8b5e-315233b5e8d0&trackingId=DKC%2BeNIZrHvii1Y8Hm62Gg%3D%3D&trk=public_jobs_apply-link-offsite",0.018809332759751253,
18,"Accounting Intern - Summer 2021","Consigli Construction Co., Inc.","Milford, MA","Accounting Intern

Help with everyday accounting tasks.

Required Skills

Essential Functions

Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.
An ideal opportunity for College/University students in accounting or finance degree programs
Assist with quarter and year-end financial close and reporting
Help with account reconciliations
Handle major accounting related projects and report creations
Budgeting and planning
Audits
Spreadsheet preparation and analysis
Routine administrative tasks including filing, banking and handling of finance correspondence

Core Competencies
Pursuing a degree in Accounting
Previous intern experience working within an Accounting Department would be preferred, but is not required.
Desire and willingness to learn
Reliable transportation required
Attention to detail
Strong communication and organizational skills

Supervisory Responsibility
This position is not responsible for oversight or performance management of any employees.

Position Type/Expected Hours of Work

This is a full-time position. Standard work hours are Monday through Friday, 8 a.m. to 5 pm.

Required Experience
Pursuing a Bachelor’s Degree in Accounting","https://www.linkedin.com/jobs/view/externalApply/2342833870?url=https%3A%2F%2Fconsigli-openhire%2Esilkroad%2Ecom%2Fepostings%2Fsubmit%2Ecfm%3Ffuseaction%3Dapp%2Edspjob%26jobid%3D423%26company_id%3D17365%26version%3D1%26jobBoardId%3D3349&urlHash=BQNT&refId=64306796-c286-4e3c-8b5e-315233b5e8d0&trackingId=5xw47OqbkE65IzWQ9BZ8cQ%3D%3D&trk=public_jobs_apply-link-offsite",0.026604525165209395,
11,"Intern, Accounting","Collegium Pharmaceutical, Inc.","Stoughton, MA","Looking to expand your knowledge beyond the classroom? Collegium's C2C Summer Session enables and equips students to gain industry knowledge and hands on experience outside of the classroom through mentorship from our passionate and experienced Collegium team! Collegium is committed to being the leader in responsible pain management. Come join the camaraderie of Collegium Pharmaceutical!

The Accounting Intern will assist the Finance Team with key activities and processes as well as support various ad-hoc requests.

Provide support to the Finance Department through a variety of activities, including

Assisting with quarter and month end close
Assisting in compiling data for system audits and various data integrity initiatives
Test transactions to ensure appropriate accounting and compliance
Document transaction details to ensure appropriate accounting
Current college student who has completed at least two years of an Accounting or Finance related program
Minimum 3.2 GPA
Strong written and verbal communication skills
Ability to work independently as well as part of a team
Experience in Microsoft Office Suite of software (Excel, Word, PowerPoint, etc.)","https://www.linkedin.com/jobs/view/externalApply/2465117593?url=https%3A%2F%2Fcareers-collegiumpharma%2Eicims%2Ecom%2Fjobs%2F1434%2Fintern%252c-accounting%2Fjob%3Fmode%3Djob%26iis%3DJob%2BPosting%26iisn%3DLinkedIn&urlHash=YvpI&refId=64306796-c286-4e3c-8b5e-315233b5e8d0&trackingId=vxjali0KG%2BPEMQGLCPePhg%3D%3D&trk=public_jobs_apply-link-offsite",0.19792794751172302,
22,"INTERN - Accounting-Financial Systems and Operations","Subaru of America","Cherry Hill, NJ","Accounting – Financial Systems and Operations Intern – Paid Internship

Course of Study

Pursuing a Bachelor’s Degree with major in Accounting or Management Information Systems (MIS) with some coursework in both Accounting/Finance and data analytics.

Term
1 year in length [37.5 hours per week during the summer; 25 hours per week during school year]
Internship to begin in June and end in May
Location – Subaru Headquarters in Camden, NJ


Qualifications
Junior (or a Senior planning to pursue a Master’s Degree in the fall)
Must be an active student for the entire length of internship
At least 1 year of work experience


Skills
Excellent communication and interpersonal skills with the ability to interface with all levels of the organization
Proficiency in Microsoft Office [Excel (familiarity with formulas), Word, PowerPoint]
Ability to work independently and as part of a team


Responsibilities
Assist in generating billing reports for various vendors
Assist in generating various financial reports
Learn the chart of account hierarchy in the Oracle ERP system and assist in maintaining hierarchies
Learn the financial close process including procure-to-pay, order-to-cash, and record-to-report. Assist in the close where needed
Learn to use data analytic tools such as Qlik, SQL, SmartView, and Oracle Business Intelligence
Assist in building reports in Qlik and identifying data required to migrate to reporting tools
Work on project teams and assist on various finance and accounting initiatives


Summary

Gain exposure to a wide variety of financial projects, processes, and systems. This is a unique opportunity for an ambitious person pursuing an accounting or finance degree who has some technical acumen. Collaborates with internal teams to learn about financial close processes, financial data, and systems. Ability to work well with others and collaborate is key to the position.","https://www.linkedin.com/jobs/view/externalApply/2475947624?url=https%3A%2F%2Fphg%2Etbe%2Etaleo%2Enet%2Fphg01%2Fats%2Fcareers%2Fv2%2FviewRequisition%3Forg%3DSUBARU%26cws%3D41%26rid%3D32568%26source%3DLinkedIn%26src%3DLinkedIn%26gns%3DLinkedIn&urlHash=z-6m&refId=64306796-c286-4e3c-8b5e-315233b5e8d0&trackingId=pfQ9SzE57hJ3wRcR189lyg%3D%3D&trk=public_jobs_apply-link-offsite",0.041239505825371614,
29,"Finance Intern","University of Massachusetts Medical School","Mattapan, MA","General Summary Of Position

Under the direct supervision of the assigned manager, the Undergraduate Intern is responsible for project-based tasks to support a designated department. These tasks may be administrative or research oriented, depending on the department. Assigned projects will require basic analytical and communications skills. For research-based departments, the Undergraduate Intern will be responsible for semi-complex laboratory tasks. Specific job responsibilities will vary by department but may include information gathering data entry, writing, editing and/or laboratory work. This is a temporary, non-benefitted role.

Major Responsibilities
Coordinate and perform advanced administrative tasks
Support the AP & AR department, reconciling statements, supporting invoices, and other day to day responsibilities
Conduct historical financial, vendor related, client related research to assist team members
Assist with the preparation of data for projects and reporting; compile financial and vendor sourcing information as requested
File, retrieve, collect, organize, manage, and distribute information from diverse internal and external sources
Assist in the purchasing of materials, scientific equipment and services and office/business supplies
Perform assigned project tasks within specified timeframes
Perform other duties as required

Required Qualifications
Bachelor’s degree candidate
Related experience preferred
Basic analytical and communication skills
Attention to detail with the ability to collect and record information from a wide variety of sources
Ability to use standard office tools and software (MS-Office)
Must be reliable and able to set consistent work hours

Resident of one of the following zip codes are preferred 02118, 02119, 02120, 02121, 02122, 02124, 02125, 02130, 02126, 02131, 02136, 02137. (These zip codes cover Dorchester, Roxbury, Jamaica Plain, Hyde Park, Roslindale and Mattapan, MA.)","https://www.linkedin.com/jobs/view/externalApply/2497691836?url=https%3A%2F%2Fcareers-massbiologics%2Eicims%2Ecom%2Fjobs%2F37014%2Fundergraduate-intern%2Fjob%3Fmode%3Djob%26iis%3DJob%2BPosting%26iisn%3DLinkedIn&urlHash=wWC2&refId=64306796-c286-4e3c-8b5e-315233b5e8d0&trackingId=hWu6ZwbuAGJKsadzUXGC0A%3D%3D&trk=public_jobs_apply-link-offsite",0.011043838694659708,
15,"Accounting Internship","Sunovion Pharmaceuticals","Marlborough, MA","Sunovion & Sumitomo Dainippon Pharma America virtual Internship Program

Our virtual internship program offers college and university students an amazing opportunity to gain hands on experience within the pharmaceutical industry. This program allows students to work closely with business leaders while obtaining key industry insights. Interns will be responsible for completing both individual and group projects. Additionally, interns will participate in team building workshops and professional led seminars which will contribute to their career and professional development. We are seeking talented individuals within multiple areas across the organization.

Company Overview

Sunovion is a global biopharmaceutical company focused on the innovative application of science and medicine to help people with serious medical conditions. Sunovion’s spirit of innovation is driven by the conviction that scientific excellence paired with meaningful advocacy and relevant education can improve lives. The Company has charted new paths to life-transforming treatments that reflect ongoing investments in research and development and an unwavering commitment to support people with psychiatric, neurological, and respiratory conditions.

Sumitomo Dainippon Pharma America (SDPA) supports certain affiliates of Sumitomo Dainippon Pharma Group by providing professional shared services expertise to achieve greater efficiencies and enable discovery, development, and commercialization of innovative treatments to help patients.

Program Overview
Position will begin on Monday May 31, 2021.
Position is full-time Monday through Friday – up to 40 hours per week.
Candidates should be available to commit to 8 weeks minimum.

Internship Description

The Accounting intern will be responsible for assisting in various projects that support department initiatives related to standardized processes, documentation, improving processes, creating efficiencies and creating synergies. This role requires a high degree of collaboration with other members of the Corporate Accounting team as well as other key stakeholders within the broader Finance and Accounting functions.

The Accounting intern will work with the Senior Manager of Accounting on developing a timeline, project plan and deliverables for refining certain account analyses in Blackline.

Learning Goals
Gain insight into the pharmaceutical industry
Receive real-life experience into the day-to-day operations of a Corporate Accounting Team
Develop organizational skills to be able to complete a project in a timely manner
Demonstrate effective written communication skills
Learn to interact with diverse personalities
Participate in special projects that support the departments initiatives and objectives as assigned

Minimum Requirements
Undergraduate having completed their Sophomore year.
Accounting Major
Authorization to work in the U.S.
Abide by corporate policies, work in professional environment, and meet deadlines
Experience using Microsoft Office (Excel, PowerPoint, Word).
Confidential Data : All information (written, verbal, electronic, etc.) that an employee encounters is considered confidential.

Compliance :Achieve and maintain Compliance with all applicable regulatory, legal and operational rules and procedures, by ensuring that all plans and activities for and on behalf of Sunovion are carried out with the best industry practices and the highest ethical standards.

Mental/Physical Requirements : Fast paced environment handling multiple demands. Must be able to exercise appropriate judgment as necessary. Requires a high level of initiative and independence. Excellent written and oral communication skills required. Requires ability to use a personal computer for extended periods of time.","https://www.linkedin.com/jobs/view/externalApply/2403782041?url=https%3A%2F%2Fsunovion%2Ewd5%2Emyworkdayjobs%2Ecom%2Fen-US%2F_Sun%2Fjob%2FUS-MA-Marlborough%2FAccounting-Internship_R00697&urlHash=9iym&refId=64306796-c286-4e3c-8b5e-315233b5e8d0&trackingId=mLF4drN4XrkxKHBQVoEFZQ%3D%3D&trk=public_jobs_apply-link-offsite",0.013564762438344868,
2,"Accounting Intern","AAA Northeast","Providence, RI (+1 other)","AAA Northeast’s internship and co-op program is designed to provide undergraduate students with real work experience that allows them to apply theoretical knowledge to the workplace. Throughout the course of their internship, students have opportunities to network with other business professionals and interns, attend skill development workshops, job shadow other departments at the Club, receive personalized career guidance, and will also receive a year of AAA Membership after three months of employment. All internships are paid and require a minimum of 12 hours per week during the school year or full-time over the summer.

Our Finance & Accounting Department is offering an exciting and unique summer internship opportunity. During the 3 month internship, the Accounting Intern will rotate among different teams within the department to obtain experience within various accounting disciplines, providing robust and comprehensive learning. The Intern will gain an understanding of general accounting, and will assist in preparing monthly general ledger journal entries, performing account reconciliations and analysis, and special projects. At the conclusion of the internship, there is an opportunity to be considered for a future internship with a national, regional, or local CPA firm. By leveraging our partnerships with these firms, it provides the Intern potential for continued, experiential learning.

Requirements:

Current Junior or Senior pursuing a Bachelor’s Degree in Accounting or recently graduated with a Bachelor’s Degree in AccountingDemonstrated proficiency with the Microsoft Office Suite products, particularly ExcelAbility to quickly develop a working knowledge of department software applicationsStrong mathematical and analytical skills requiredAttention to detailGood organizational and time management skillsCommunicates efficiently and effectively using verbal and written communication mediaTeam playerStrong customer service focus, with the ability to develop effective working relationshipsDemonstrated customer service focus

AAA Northeast is one of the largest and most innovative membership organizations in North America. It is a multi-business organization comprising more than 60 locations in a six-state area. We provide valuable roadside service to our 5.2 million members, as well as many specialized services such as Financial Services & Loans, Insurance, Travel, Discounts, Auto Glass, and Driver Training. AAA is a key advocate for issues impacting the traveling public, such as highway safety, road maintenance and related legislation. We have a unique organizational model and many of our businesses are the largest and most sought after in their industries. AAA Northeast employees help and serve as a way of life. Through a 100-year legacy of service stewardship, our employees make valuable contributions to our workplace and the community that surrounds us. In order to continue our mission, our organization is expanding and we need talented people to work alongside us in creating our next 100 years","https://www.peersight.in/job/aaa-northeast-accounting-intern-in-providence-ri?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic",0.022761459669292095,
23,"General Accounting Intern (Summer 2021)","Raytheon Technologies","Farmington, CT","Date Posted

2021-04-07-07:00

Country

United States of America
Location:
UT56: 8 Farm Springs 8 Farm Springs, Farmington, CT, 06034 USA
We are seeking a highly motivated summer intern to be part of the General Accounting team within the Raytheon Technologies Enterprise Services organization in Farmington, CT.

Responsibilities Include
Prepare and post Journal Entries
Perform Account Reconciliations
Support data collection and consolidation of quarterly financial reporting deliverables
Support Pratt & Whitney, Collins and Corporate office
Focus is on General Accounting: Allocations, Insurance, Fringes, Prepaids, Leases, expenses, Balance Sheet reclasses, Intercompany

Required Skills & Education
Candidate must be in/entering their junior year (61+ credit hours) and actively pursuing a Bachelor’s Degree in Accounting or a related field. Please upload a copy of your most recent transcript when applying to this requisition.
Solid academic performance with a minimum of a 3.5 Cumulative GPA
Strong proficiency in Microsoft Office applications, specifically Microsoft Excel
Excellent communication skills

Desired Skills
Previous internship or co-op experience in a related field
Experience with pivot tables, formulas and macros
Demonstrated analytical/problem solving skills
Strong commitment and interest in a career in Accounting

US Citizenship
This position may require access to systems/tools that are restricted to individuals who possess US citizenship

Raytheon Technologies is An Equal Opportunity/Affirmative Action Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability or veteran status, age or any other federally protected class.

Privacy Policy And Terms

Click on this link to read the Policy and Terms

Raytheon is an Equal Opportunity/Affirmative Action employer. All qualified applicants will receive consideration for employment without regard to race, age, color, religion, creed, sex, sexual orientation, gender identity, national origin, disability, or protected Veteran status.","https://www.linkedin.com/jobs/view/externalApply/2483521761?url=https%3A%2F%2Fad%2Edoubleclick%2Enet%2Fddm%2Fclk%2F445821813%3B263654212%3Bc%3Fhttps%3A%2F%2Fjobs%2Ertx%2Ecom%2Fjob%2F-%2F-%2F4679%2F6572435536%3Futm_source%3Dlinkedin%2Ecom%26utm_campaign%3Denterprise%26utm_medium%3Dsocial_media%26utm_content%3Djob_posting%26ss%3Dpaid&urlHash=hre1&refId=64306796-c286-4e3c-8b5e-315233b5e8d0&trackingId=hi7bzyCaFX03IBQuBanDQw%3D%3D&trk=public_jobs_apply-link-offsite",0.048250221725408625,
30,"College Intern - Accounting","Port of Seattle","Seattle, WA","This position meets the Essential Critical Infrastructure Workers criteria for Washington State. During the “Stay Home, Stay Healthy” order, most of this work can be performed remotely. Social distancing and personal protective equipment guidelines will be followed when required to work onsite.
This internship position will provide assistance to the General Accounting section with a capital services focus in the Accounting and Financial Reporting department.
Some of your essential duties include:
- Performing a wide variety of accounting related functions including but not limited to: activating new projects, performing amendments and capital project re-closes.
- Preparing both manual and system journals for posting to the Project Cost or Asset Management modules and completing account reconciliations.
- Performing special projects as needed.","https://www.linkedin.com/jobs/view/externalApply/2461156282?url=https%3A%2F%2Faa243%2Etaleo%2Enet%2Fcareersection%2Fjobdetail%2Eftl%3Fjob%3D000209&urlHash=mYyL&refId=64306796-c286-4e3c-8b5e-315233b5e8d0&trackingId=k%2BislbZOVqewidhBQJPDhw%3D%3D&trk=public_jobs_apply-link-offsite",0.021255837839675856,
